timestamp,gpu_id,gpu_utilization,memory_used_mib
1787167283.9409666,0,26,35766
1787167283.9409666,1,17,35806
1787167283.9409666,2,0,0
1787167283.9409666,3,0,0
1787167286.3767724,0,10,35810
1787167286.3767724,1,11,35806
1787167286.3767724,2,0,0
1787167286.3767724,3,0,0
1787167288.6827607,0,45,35810
1787167288.6827607,1,65,35828
1787167288.6827607,2,0,0
1787167288.6827607,3,0,0
1787167290.9917974,0,44,36000
1787167290.9917974,1,32,35868
1787167290.9917974,2,0,0
1787167290.9917974,3,0,0
1787167293.2909722,0,49,36142
1787167293.2909722,1,73,36362
1787167293.2909722,2,0,0
1787167293.2909722,3,0,0
1787167295.5899909,0,78,36172
1787167295.5899909,1,36,36362
1787167295.5899909,2,0,0
1787167295.5899909,3,0,0
1787167297.893528,0,36,36690
1787167297.893528,1,63,36368
1787167297.893528,2,0,0
1787167297.893528,3,0,0
1787167300.210897,0,33,36998
1787167300.210897,1,62,36368
1787167300.210897,2,0,0
1787167300.210897,3,0,0
1787167302.5072715,0,70,37126
1787167302.5072715,1,70,36832
1787167302.5072715,2,0,0
1787167302.5072715,3,0,0
1787167304.919391,0,72,37474
1787167304.919391,1,53,36944
1787167304.919391,2,0,0
1787167304.919391,3,0,0
1787167307.3216567,0,60,37662
1787167307.3216567,1,76,37272
1787167307.3216567,2,0,0
1787167307.3216567,3,0,0
1787167309.7999632,0,69,37730
1787167309.7999632,1,79,37496
1787167309.7999632,2,0,0
1787167309.7999632,3,0,0
1787167312.068718,0,66,37890
1787167312.068718,1,60,37820
1787167312.068718,2,0,0
1787167312.068718,3,0,0
1787167314.3746846,0,57,38018
1787167314.3746846,1,59,37848
1787167314.3746846,2,0,0
1787167314.3746846,3,0,0
1787167316.7922347,0,63,38146
1787167316.7922347,1,69,37850
1787167316.7922347,2,0,0
1787167316.7922347,3,0,0
1787167319.1594806,0,72,38274
1787167319.1594806,1,69,37850
1787167319.1594806,2,0,0
1787167319.1594806,3,0,0
1787167321.5652988,0,81,38274
1787167321.5652988,1,59,37850
1787167321.5652988,2,0,0
1787167321.5652988,3,0,0
1787167323.9913332,0,51,38274
1787167323.9913332,1,44,38052
1787167323.9913332,2,0,0
1787167323.9913332,3,0,0
1787167326.4964654,0,56,38274
1787167326.4964654,1,62,38306
1787167326.4964654,2,0,0
1787167326.4964654,3,0,0
1787167328.8483214,0,61,38274
1787167328.8483214,1,69,38306
1787167328.8483214,2,0,0
1787167328.8483214,3,0,0
1787167331.2430067,0,56,38274
1787167331.2430067,1,42,38418
1787167331.2430067,2,0,0
1787167331.2430067,3,0,0
1787167333.5947926,0,52,38274
1787167333.5947926,1,66,38418
1787167333.5947926,2,0,0
1787167333.5947926,3,0,0
1787167335.9179587,0,62,38274
1787167335.9179587,1,63,38418
1787167335.9179587,2,0,0
1787167335.9179587,3,0,0
1787167338.3360493,0,35,38402
1787167338.3360493,1,45,38518
1787167338.3360493,2,0,0
1787167338.3360493,3,0,0
1787167340.7670825,0,76,38594
1787167340.7670825,1,73,38518
1787167340.7670825,2,0,0
1787167340.7670825,3,0,0
1787167343.0832055,0,66,38594
1787167343.0832055,1,77,38518
1787167343.0832055,2,0,0
1787167343.0832055,3,0,0
1787167345.4748092,0,79,38594
1787167345.4748092,1,73,38518
1787167345.4748092,2,0,0
1787167345.4748092,3,0,0
1787167347.8309581,0,47,38594
1787167347.8309581,1,56,38518
1787167347.8309581,2,0,0
1787167347.8309581,3,0,0
1787167350.1743855,0,81,38594
1787167350.1743855,1,83,38518
1787167350.1743855,2,0,0
1787167350.1743855,3,0,0
1787167352.5628088,0,78,38594
1787167352.5628088,1,91,38518
1787167352.5628088,2,0,0
1787167352.5628088,3,0,0
1787167354.9744768,0,68,38760
1787167354.9744768,1,75,38518
1787167354.9744768,2,0,0
1787167354.9744768,3,0,0
1787167357.6992307,0,41,38760
1787167357.6992307,1,47,38518
1787167357.6992307,2,0,0
1787167357.6992307,3,0,0
1787167360.4931078,0,39,38804
1787167360.4931078,1,70,38518
1787167360.4931078,2,0,0
1787167360.4931078,3,0,0
1787167362.887337,0,51,38806
1787167362.887337,1,62,38518
1787167362.887337,2,0,0
1787167362.887337,3,0,0
1787167365.31295,0,87,38950
1787167365.31295,1,67,38518
1787167365.31295,2,0,0
1787167365.31295,3,0,0
1787167367.7284076,0,56,38950
1787167367.7284076,1,51,38518
1787167367.7284076,2,0,0
1787167367.7284076,3,0,0
1787167370.0044436,0,33,38950
1787167370.0044436,1,37,38518
1787167370.0044436,2,0,0
1787167370.0044436,3,0,0
1787167372.4202826,0,27,38950
1787167372.4202826,1,41,38518
1787167372.4202826,2,0,0
1787167372.4202826,3,0,0
1787167374.7821198,0,41,38950
1787167374.7821198,1,42,38518
1787167374.7821198,2,0,0
1787167374.7821198,3,0,0
1787167377.2112164,0,42,39020
1787167377.2112164,1,42,38182
1787167377.2112164,2,0,0
1787167377.2112164,3,0,0
1787167379.5696356,0,31,38892
1787167379.5696356,1,71,38182
1787167379.5696356,2,0,0
1787167379.5696356,3,0,0
1787167381.9914892,0,52,38892
1787167381.9914892,1,57,38182
1787167381.9914892,2,0,0
1787167381.9914892,3,0,0
1787167384.3079896,0,98,38636
1787167384.3079896,1,63,38182
1787167384.3079896,2,0,0
1787167384.3079896,3,0,0
1787167386.6710806,0,53,38636
1787167386.6710806,1,56,38182
1787167386.6710806,2,0,0
1787167386.6710806,3,0,0
1787167389.0322263,0,88,38764
1787167389.0322263,1,59,38182
1787167389.0322263,2,0,0
1787167389.0322263,3,0,0
1787167391.38908,0,49,38892
1787167391.38908,1,69,38182
1787167391.38908,2,0,0
1787167391.38908,3,0,0
1787167393.742089,0,56,38892
1787167393.742089,1,36,38182
1787167393.742089,2,0,0
1787167393.742089,3,0,0
1787167396.2041535,0,51,38892
1787167396.2041535,1,65,38294
1787167396.2041535,2,0,0
1787167396.2041535,3,0,0
1787167398.4831004,0,52,38892
1787167398.4831004,1,63,38294
1787167398.4831004,2,0,0
1787167398.4831004,3,0,0
1787167400.883372,0,50,38892
1787167400.883372,1,53,38294
1787167400.883372,2,0,0
1787167400.883372,3,0,0
1787167403.197249,0,58,38892
1787167403.197249,1,71,38294
1787167403.197249,2,0,0
1787167403.197249,3,0,0
