migration_id,model,model_path,source_gpu,target_gpu,migration_start,target_ready_time,migration_end,migration_latency_s,service_downtime_s,migration_total_s,ordering,readiness_barrier,latency_is_submission_only,weight_bytes,kv_bytes,total_bytes,transfer_path,effective_gbps,success,peak_kvpr_before,peak_kvpr_after,tau,alg1_cycle
0,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787172221.7063437,1787172223.3272235,1787172223.9575408,1.620879888534546,0.0,2.251197099685669,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,7.28051610541445,True,0.0008077038348320111,,0.00035,1
1,model_6,Qwen/Qwen2.5-7B-Instruct,1,0,1787172251.7873452,1787172253.5147,1787172266.6759648,1.7273547649383545,0.0,14.888619661331177,target-first,1,0,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,11.648746771150462,True,0.1438807380351968,,0.00035,7
2,model_6,Qwen/Qwen2.5-7B-Instruct,0,1,1787172286.8059824,1787172288.6181762,1787172299.1234398,1.8121938705444336,0.0,12.317457437515259,target-first,1,0,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,5.693171224098231,True,0.1003475405157277,,0.00035,12
3,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787172319.565168,1787172321.3241572,1787172322.0005057,1.7589893341064453,0.0,2.435337781906128,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.3567321587338625,True,0.08886632226919157,,0.00035,17
4,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787172354.9263737,1787172356.1253388,1787172357.1766157,1.198965072631836,0.0,2.250241994857788,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,4.5556628487035855,True,0.05429225222092847,,0.00035,24
5,model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787172375.173462,1787172409.4665208,1787172409.4665208,34.2930588722229,34.2930588722229,34.2930588722229,source-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,3.361914945915408,True,0.05361771118211106,,0.00035,77
6,model_3,meta-llama/Llama-3.2-3B,1,0,1787172385.3021955,1787172386.451256,1787172393.2261899,1.1490604877471924,0.0,7.923994302749634,target-first,1,0,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,10.148884631140001,True,0.06651516547414667,,0.00035,30
7,model_3,meta-llama/Llama-3.2-3B,0,1,1787172423.7704628,1787172427.1873035,1787172427.8106236,3.4168407917022705,0.0,4.040160894393921,target-first,1,0,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,4.833938972457685,True,0.0320491345701279,,0.00035,37
8,model_1,meta-llama/Llama-3.2-1B,0,1,1787172484.680551,1787172485.387674,1787172488.6871488,0.7071230411529541,0.0,4.0065977573394775,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,10.246997954802302,True,0.14431455761216327,,0.00035,49
9,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787172515.2059858,1787172516.721932,1787172527.1086226,1.5159461498260498,0.0,11.902636766433716,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.3567321587338625,True,0.09898052191168787,,0.00035,55
10,model_3,meta-llama/Llama-3.2-3B,1,0,1787172547.5652559,1787172548.6336887,1787172549.1843405,1.0684328079223633,0.0,1.6190845966339111,target-first,1,0,7213504512,0,7213504512,host-to-device + helper-gpu-p2p,10.148884631140001,True,0.06367393051979775,,0.00035,60
11,model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787172635.6953495,1787172636.8924205,1787172647.2820559,1.1970710754394531,0.0,11.586706399917603,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,3.361914945915408,True,,,,
