Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/steady_r8_s2.pkl
[PRISM_DIRECT] 3365 requests, span 419.5s
Starting TP benchmark: paper-faithful-v3-alg2only_steady_rate8_seed2
Generated 3365 requests
Request model_6#0 arrives at 145407.70308382, sleeping for 0.3705064585665241 seconds
Request model_6#1 arrives at 145408.074653277, sleeping for 0.3918475974642206 seconds
Request model_5#0 arrives at 145408.467291884, sleeping for 0.15199000417487696 seconds
Request model_1#0 arrives at 145408.620388976, sleeping for 0.0837776610860601 seconds
Request model_1#1 arrives at 145408.704576746, sleeping for 0.06762660745880567 seconds
Request model_1#2 arrives at 145408.773831628, sleeping for 0.05611087952274829 seconds
Request model_5#1 arrives at 145408.830374125, sleeping for 0.0010742319282144308 seconds
Request model_5#2 arrives at 145408.83260963, sleeping for 0.0014609885984100401 seconds
Request model_3#0 arrives at 145408.834742554, sleeping for 0.030471352685708553 seconds
Request model_5#3 arrives at 145408.865875193, sleeping for 0.07218660257058218 seconds
Request model_3#1 arrives at 145408.940191434, sleeping for 0.005855640629306436 seconds
Request model_5#4 arrives at 145408.946667217, sleeping for 0.1616978302190546 seconds
Request model_6#2 arrives at 145409.109126686, sleeping for 0.42391583404969424 seconds
Request model_1#3 arrives at 145409.533441043, sleeping for 0.22792210470652208 seconds
Request model_5#5 arrives at 145409.761942798, sleeping for 0.010151237598620355 seconds
Request model_5#6 arrives at 145409.773227629, sleeping for 0.09236525968299247 seconds
Request model_2#0 arrives at 145409.866150026, sleeping for 0.2544742268510163 seconds
Request model_6#3 arrives at 145410.121663562, sleeping for 0.14058060609386303 seconds
Request model_6#4 arrives at 145410.263113052, sleeping for 0.02994926064275205 seconds
Request model_6#5 arrives at 145410.293357769, sleeping for 0.06625756979337893 seconds
Request model_6#6 arrives at 145410.360634537, sleeping for 0.20193062353064306 seconds
Request model_6#7 arrives at 145410.563110962, sleeping for 0.0067530013038776815 seconds
Request model_6#8 arrives at 145410.570638657, sleeping for 0.27524391704355367 seconds
Request model_5#7 arrives at 145410.847107803, sleeping for 0.5015779675450176 seconds
Request model_2#1 arrives at 145411.349888979, sleeping for 0.08212168869795278 seconds
Request model_6#9 arrives at 145411.433242478, sleeping for 0.13985142458113842 seconds
Request model_3#2 arrives at 145411.573616425, sleeping for 0.05086202736129053 seconds
Request model_6#10 arrives at 145411.624860912, sleeping for 0.14619452654733323 seconds
Request model_1#4 arrives at 145411.771362881, sleeping for 0.04788811749313027 seconds
Request model_6#11 arrives at 145411.819621753, sleeping for 0.025382070220075548 seconds
Request model_3#3 arrives at 145411.846108463, sleeping for 0.05650361531297676 seconds
Request model_5#8 arrives at 145411.903372652, sleeping for 0.04569189326139167 seconds
Request model_1#5 arrives at 145411.94961883, sleeping for 0.01617136292043142 seconds
Request model_6#12 arrives at 145411.966908263, sleeping for 0.19592488076887093 seconds
Request model_1#6 arrives at 145412.16479311, sleeping for 0.14562601211946458 seconds
Request model_2#2 arrives at 145412.311151268, sleeping for 0.03126194796641357 seconds
Request model_4#0 arrives at 145412.34365381, sleeping for 0.23722799806273542 seconds
Request model_3#4 arrives at 145412.583103856, sleeping for 0.1778919370553922 seconds
Request model_5#9 arrives at 145412.761875416, sleeping for 0.06445574478129856 seconds
Request model_6#13 arrives at 145412.82718389, sleeping for 0.012393489334499463 seconds
Request model_1#7 arrives at 145412.840489615, sleeping for 0.02466698898933828 seconds
Request model_6#14 arrives at 145412.865757463, sleeping for 0.18084085686132312 seconds
Request model_6#15 arrives at 145413.047111368, sleeping for 0.04488974541891366 seconds
Request model_5#10 arrives at 145413.092428045, sleeping for 0.01075933754327707 seconds
Request model_5#11 arrives at 145413.103680846, sleeping for 0.18657786922995 seconds
Request model_6#16 arrives at 145413.291441793, sleeping for 0.1470267417607829 seconds
Request model_2#3 arrives at 145413.438806254, sleeping for 0.038303078210446984 seconds
Request model_3#5 arrives at 145413.478222069, sleeping for 0.13105925937998109 seconds
Request model_1#8 arrives at 145413.6105567, sleeping for 0.05926718487171456 seconds
Request model_6#17 arrives at 145413.670334274, sleeping for 0.21039828806533478 seconds
Request model_1#9 arrives at 145413.881750466, sleeping for 0.2152387578098569 seconds
Request model_6#18 arrives at 145414.098240328, sleeping for 0.0009563060011714697 seconds
Request model_2#4 arrives at 145414.099510691, sleeping for 0.07938628856209107 seconds
Request model_6#19 arrives at 145414.179784933, sleeping for 0.10652643084176816 seconds
Request model_6#20 arrives at 145414.28850745, sleeping for 0.3346459617896471 seconds
Request model_3#6 arrives at 145414.624154539, sleeping for 0.08103844261495396 seconds
Request model_5#12 arrives at 145414.705778634, sleeping for 0.007140095432987437 seconds
Request model_3#7 arrives at 145414.71407974, sleeping for 0.27578248709323816 seconds
Request model_6#21 arrives at 145414.990551506, sleeping for 0.23618532429100014 seconds
Request model_6#22 arrives at 145415.227317066, sleeping for 0.4106174038024619 seconds
Request model_6#23 arrives at 145415.638499008, sleeping for 0.020115746068768203 seconds
