1787169167.072676811 0, 35602, 1;1, 35684, 0;2, 0, 0;3, 0, 0;
1787169169.451974448 0, 35768, 0;1, 35806, 0;2, 0, 0;3, 0, 0;
1787169171.688261844 0, 36108, 37;1, 36144, 68;2, 0, 0;3, 0, 0;
1787169173.942764223 0, 36110, 61;1, 36758, 100;2, 0, 0;3, 0, 0;
1787169176.186192251 0, 36260, 52;1, 36882, 67;2, 0, 0;3, 0, 0;
1787169178.431266992 0, 36352, 100;1, 36882, 99;2, 0, 0;3, 0, 0;
1787169180.741202796 0, 36798, 55;1, 37106, 99;2, 0, 0;3, 0, 0;
1787169183.005557453 0, 36832, 100;1, 37106, 99;2, 0, 0;3, 0, 0;
1787169185.277178183 0, 37088, 65;1, 37106, 100;2, 0, 0;3, 0, 0;
1787169187.528348064 0, 37088, 44;1, 37106, 68;2, 0, 0;3, 0, 0;
1787169189.836333363 0, 37124, 58;1, 37106, 57;2, 0, 0;3, 0, 0;
1787169192.107686541 0, 37124, 62;1, 37366, 94;2, 0, 0;3, 0, 0;
1787169194.404276167 0, 37270, 100;1, 37366, 99;2, 0, 0;3, 0, 0;
1787169196.646587590 0, 37270, 100;1, 37366, 99;2, 0, 0;3, 0, 0;
1787169198.886394858 0, 37270, 43;1, 37366, 99;2, 0, 0;3, 0, 0;
1787169201.145250351 0, 37270, 98;1, 37478, 99;2, 0, 0;3, 0, 0;
1787169203.460214551 0, 37414, 100;1, 37982, 57;2, 0, 0;3, 0, 0;
1787169205.781812203 0, 37414, 98;1, 37982, 80;2, 0, 0;3, 0, 0;
1787169208.101804572 0, 37414, 64;1, 38434, 67;2, 0, 0;3, 0, 0;
1787169210.385767341 0, 37414, 52;1, 38434, 50;2, 0, 0;3, 0, 0;
1787169212.658911721 0, 37462, 53;1, 38434, 58;2, 0, 0;3, 0, 0;
1787169215.098199664 0, 37732, 55;1, 38434, 25;2, 0, 0;3, 0, 0;
1787169217.885227449 0, 38200, 100;1, 38434, 99;2, 0, 0;3, 0, 0;
1787169220.199383314 0, 38328, 77;1, 38516, 62;2, 0, 0;3, 0, 0;
1787169222.516663306 0, 38330, 47;1, 38628, 64;2, 0, 0;3, 0, 0;
1787169224.829873989 0, 38330, 100;1, 38740, 81;2, 0, 0;3, 0, 0;
1787169227.111710442 0, 38330, 100;1, 38740, 100;2, 0, 0;3, 0, 0;
1787169229.434520293 0, 38330, 71;1, 38740, 64;2, 0, 0;3, 0, 0;
1787169231.700211224 0, 38330, 91;1, 38740, 99;2, 0, 0;3, 0, 0;
1787169233.948582833 0, 38330, 100;1, 38740, 99;2, 0, 0;3, 0, 0;
1787169236.269765510 0, 38330, 100;1, 38740, 99;2, 0, 0;3, 0, 0;
1787169238.545952091 0, 38330, 29;1, 38740, 80;2, 0, 0;3, 0, 0;
1787169240.814320346 0, 38330, 66;1, 38740, 71;2, 0, 0;3, 0, 0;
1787169243.078230783 0, 38330, 61;1, 38628, 56;2, 0, 0;3, 0, 0;
1787169245.321734131 0, 38330, 63;1, 38628, 75;2, 0, 0;3, 0, 0;
1787169247.598404011 0, 38330, 64;1, 38628, 71;2, 0, 0;3, 0, 0;
1787169249.860855434 0, 38330, 62;1, 38628, 71;2, 0, 0;3, 0, 0;
1787169252.221630534 0, 38330, 44;1, 38628, 87;2, 0, 0;3, 0, 0;
1787169254.541737546 0, 38330, 72;1, 38628, 43;2, 0, 0;3, 0, 0;
1787169256.856553567 0, 38330, 66;1, 38628, 73;2, 0, 0;3, 0, 0;
1787169259.155119317 0, 38330, 66;1, 38628, 56;2, 0, 0;3, 0, 0;
1787169261.423141030 0, 38404, 90;1, 38628, 74;2, 0, 0;3, 0, 0;
1787169263.688926707 0, 38404, 100;1, 38628, 100;2, 0, 0;3, 0, 0;
1787169265.943424253 0, 38404, 56;1, 38628, 51;2, 0, 0;3, 0, 0;
1787169268.201745046 0, 38404, 100;1, 38628, 77;2, 0, 0;3, 0, 0;
1787169270.467985833 0, 38404, 55;1, 38740, 41;2, 0, 0;3, 0, 0;
1787169272.785644668 0, 38406, 76;1, 38740, 55;2, 0, 0;3, 0, 0;
1787169275.099236014 0, 38406, 55;1, 38740, 66;2, 0, 0;3, 0, 0;
1787169277.371293672 0, 38406, 75;1, 38740, 70;2, 0, 0;3, 0, 0;
1787169279.769362878 0, 38406, 74;1, 38740, 54;2, 0, 0;3, 0, 0;
1787169282.065596571 0, 38534, 48;1, 38740, 23;2, 0, 0;3, 0, 0;
1787169284.324002352 0, 38534, 70;1, 38740, 46;2, 0, 0;3, 0, 0;
1787169286.596743809 0, 38534, 50;1, 38740, 96;2, 0, 0;3, 0, 0;
1787169288.863379405 0, 38534, 61;1, 38628, 100;2, 0, 0;3, 0, 0;
1787169291.249326917 0, 38534, 34;1, 38628, 48;2, 0, 0;3, 0, 0;
1787169293.859315093 0, 38534, 63;1, 38628, 56;2, 0, 0;3, 0, 0;
1787169296.246330385 0, 38534, 58;1, 38628, 84;2, 0, 0;3, 0, 0;
1787169298.495849018 0, 38534, 42;1, 38628, 58;2, 0, 0;3, 0, 0;
1787169300.841450721 0, 38534, 36;1, 38628, 60;2, 0, 0;3, 0, 0;
1787169303.104289179 0, 38534, 69;1, 38628, 100;2, 0, 0;3, 0, 0;
1787169305.346881000 0, 38534, 68;1, 38628, 81;2, 0, 0;3, 0, 0;
1787169307.991261183 0, 38534, 68;1, 38628, 50;2, 0, 0;3, 0, 0;
1787169310.871773739 0, 38534, 81;1, 38628, 60;2, 0, 0;3, 0, 0;
1787169313.131976391 0, 38534, 43;1, 38628, 34;2, 0, 0;3, 0, 0;
1787169315.445401102 0, 38534, 57;1, 38628, 52;2, 0, 0;3, 0, 0;
