Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: paper-faithful-v3_bursty_rate8_seed1
Generated 3387 requests
Request model_5#0 arrives at 147240.393063201, sleeping for 0.198963296279544 seconds
Request model_2#0 arrives at 147240.592381207, sleeping for 0.1781376819126308 seconds
Request model_2#1 arrives at 147240.771111052, sleeping for 0.03555135213537142 seconds
Request model_2#2 arrives at 147240.806911707, sleeping for 0.08917531618499197 seconds
Request model_5#1 arrives at 147240.896765075, sleeping for 0.08290043662418611 seconds
Request model_2#3 arrives at 147240.980297373, sleeping for 0.13255179932457395 seconds
Request model_2#4 arrives at 147241.11506821, sleeping for 0.09685966110555455 seconds
Request model_5#2 arrives at 147241.21256525, sleeping for 0.06670778666739352 seconds
Request model_2#5 arrives at 147241.279947703, sleeping for 0.03233258210821077 seconds
Request model_2#6 arrives at 147241.313419885, sleeping for 0.2522672650811728 seconds
Request model_2#7 arrives at 147241.567106375, sleeping for 0.38848183941445313 seconds
Request model_5#3 arrives at 147241.956769563, sleeping for 0.14833975958754309 seconds
Request model_2#8 arrives at 147242.106308813, sleeping for 0.13499133830191568 seconds
Request model_3#0 arrives at 147242.242647733, sleeping for 0.7005168488249183 seconds
Request model_5#4 arrives at 147242.945609763, sleeping for 0.04426883929409087 seconds
Request model_3#1 arrives at 147242.990972373, sleeping for 0.011388699553208426 seconds
Request model_3#2 arrives at 147243.003236852, sleeping for 0.04480299534043297 seconds
Request model_2#9 arrives at 147243.048485221, sleeping for 0.20620324969058856 seconds
Request model_5#5 arrives at 147243.256952891, sleeping for 0.13737670311820693 seconds
Request model_2#10 arrives at 147243.395812125, sleeping for 0.11863736005034298 seconds
Request model_2#11 arrives at 147243.51619304, sleeping for 0.06340532851754688 seconds
Request model_2#12 arrives at 147243.580522959, sleeping for 0.046777076058788225 seconds
Request model_2#13 arrives at 147243.627924892, sleeping for 0.16205220605479553 seconds
Request model_2#14 arrives at 147243.790630212, sleeping for 0.04329167475225404 seconds
Request model_2#15 arrives at 147243.8349069, sleeping for 0.06151762610534206 seconds
Request model_3#3 arrives at 147243.897226525, sleeping for 0.03762219272903167 seconds
Request model_3#4 arrives at 147243.935686995, sleeping for 0.21141934863408096 seconds
Request model_2#16 arrives at 147244.148086221, sleeping for 0.08672859286889434 seconds
Request model_2#17 arrives at 147244.235411725, sleeping for 0 seconds
Request model_2#18 arrives at 147244.236027066, sleeping for 0.003050112776691094 seconds
Request model_5#6 arrives at 147244.239533461, sleeping for 0.3763247100287117 seconds
Request model_2#19 arrives at 147244.61625275, sleeping for 0.08142896619392559 seconds
Request model_2#20 arrives at 147244.698822427, sleeping for 0.3301739449671004 seconds
Request model_2#21 arrives at 147245.029334775, sleeping for 0.054618694295641035 seconds
Request model_2#22 arrives at 147245.084767101, sleeping for 0.02418864078936167 seconds
Request model_2#23 arrives at 147245.110044619, sleeping for 0.09022295460454188 seconds
Request model_6#0 arrives at 147245.20136177, sleeping for 0.1516065739269834 seconds
Request model_2#24 arrives at 147245.353767544, sleeping for 0.31070149526931345 seconds
Request model_2#25 arrives at 147245.665740594, sleeping for 0.11452709615696222 seconds
Request model_2#26 arrives at 147245.781730682, sleeping for 0.26010816876078025 seconds
Request model_2#27 arrives at 147246.043215824, sleeping for 0.042489215586101636 seconds
Request model_2#28 arrives at 147246.08652856, sleeping for 0.23577971692429855 seconds
Request model_3#5 arrives at 147246.322980164, sleeping for 0.22191099027986638 seconds
