1787172219.512647241 0, 35768, 53;1, 35786, 78;2, 0, 0;3, 0, 0;
1787172221.800901477 0, 35848, 1;1, 36420, 19;2, 0, 0;3, 0, 0;
1787172224.083486666 0, 27334, 99;1, 44262, 99;2, 0, 0;3, 0, 0;
1787172226.358969066 0, 27334, 99;1, 44408, 100;2, 0, 0;3, 0, 0;
1787172228.648005976 0, 27356, 97;1, 44696, 100;2, 0, 0;3, 0, 0;
1787172230.899951115 0, 27356, 99;1, 45494, 99;2, 0, 0;3, 0, 0;
1787172233.123217035 0, 27614, 67;1, 45494, 85;2, 0, 0;3, 0, 0;
1787172235.543556655 0, 27614, 99;1, 45832, 100;2, 0, 0;3, 0, 0;
1787172237.776842501 0, 27678, 46;1, 46508, 99;2, 0, 0;3, 0, 0;
1787172240.067523210 0, 27678, 47;1, 46620, 100;2, 0, 0;3, 0, 0;
1787172242.322390789 0, 28014, 97;1, 46732, 100;2, 0, 0;3, 0, 0;
1787172244.604832229 0, 28142, 91;1, 46956, 100;2, 0, 0;3, 0, 0;
1787172246.887748540 0, 28540, 91;1, 46958, 100;2, 0, 0;3, 0, 0;
1787172249.144709035 0, 28540, 99;1, 47070, 100;2, 0, 0;3, 0, 0;
1787172251.395548504 0, 28614, 99;1, 47070, 99;2, 0, 0;3, 0, 0;
1787172253.681650323 0, 44842, 99;1, 47714, 99;2, 0, 0;3, 0, 0;
1787172255.971586448 0, 45340, 99;1, 47176, 100;2, 0, 0;3, 0, 0;
1787172258.255700137 0, 45342, 100;1, 47200, 100;2, 0, 0;3, 0, 0;
1787172260.532098056 0, 45454, 100;1, 47200, 100;2, 0, 0;3, 0, 0;
1787172262.817748979 0, 45454, 100;1, 47200, 100;2, 0, 0;3, 0, 0;
1787172265.102450292 0, 45566, 100;1, 47200, 92;2, 0, 0;3, 0, 0;
1787172267.387526046 0, 45566, 100;1, 29684, 98;2, 0, 0;3, 0, 0;
1787172269.612565516 0, 45566, 100;1, 29780, 98;2, 0, 0;3, 0, 0;
1787172271.902220489 0, 45566, 99;1, 29060, 98;2, 0, 0;3, 0, 0;
1787172274.184694393 0, 45694, 99;1, 20866, 98;2, 0, 0;3, 0, 0;
1787172276.417479468 0, 45694, 99;1, 20866, 98;2, 0, 0;3, 0, 0;
1787172278.650248983 0, 46462, 99;1, 29516, 98;2, 0, 0;3, 0, 0;
1787172280.903092908 0, 46590, 100;1, 29516, 100;2, 0, 0;3, 0, 0;
1787172283.200905949 0, 46590, 99;1, 29518, 100;2, 0, 0;3, 0, 0;
1787172285.451665823 0, 46974, 99;1, 29518, 100;2, 0, 0;3, 0, 0;
1787172287.739748781 0, 48012, 100;1, 44144, 99;2, 0, 0;3, 0, 0;
1787172290.085719433 0, 47730, 100;1, 45864, 100;2, 0, 0;3, 0, 0;
1787172292.374054194 0, 47986, 99;1, 45942, 100;2, 0, 0;3, 0, 0;
1787172294.655978447 0, 47986, 99;1, 45942, 100;2, 0, 0;3, 0, 0;
1787172296.890199003 0, 48114, 94;1, 45996, 100;2, 0, 0;3, 0, 0;
1787172299.122443637 0, 31182, 94;1, 46164, 100;2, 0, 0;3, 0, 0;
1787172301.410028251 0, 31182, 93;1, 46222, 100;2, 0, 0;3, 0, 0;
1787172303.683719136 0, 31182, 92;1, 46222, 100;2, 0, 0;3, 0, 0;
1787172305.962564390 0, 29810, 92;1, 46334, 100;2, 0, 0;3, 0, 0;
1787172308.228524246 0, 29134, 92;1, 46334, 100;2, 0, 0;3, 0, 0;
1787172310.466824034 0, 29134, 65;1, 46334, 96;2, 0, 0;3, 0, 0;
1787172312.883828788 0, 29134, 92;1, 46334, 100;2, 0, 0;3, 0, 0;
1787172315.167091712 0, 29134, 91;1, 46746, 100;2, 0, 0;3, 0, 0;
1787172317.451428738 0, 29134, 93;1, 46746, 100;2, 0, 0;3, 0, 0;
1787172319.732737052 0, 29134, 92;1, 46858, 100;2, 0, 0;3, 0, 0;
1787172322.009246969 0, 33242, 95;1, 38196, 100;2, 0, 0;3, 0, 0;
1787172324.252008739 0, 33370, 92;1, 38196, 100;2, 0, 0;3, 0, 0;
1787172326.507157178 0, 33600, 99;1, 38198, 100;2, 0, 0;3, 0, 0;
1787172328.798758700 0, 33600, 99;1, 38198, 99;2, 0, 0;3, 0, 0;
1787172331.051163246 0, 33600, 99;1, 38198, 99;2, 0, 0;3, 0, 0;
1787172333.341128538 0, 33800, 99;1, 38198, 99;2, 0, 0;3, 0, 0;
1787172335.594360128 0, 33870, 99;1, 38198, 100;2, 0, 0;3, 0, 0;
1787172337.882418969 0, 33954, 100;1, 37862, 93;2, 0, 0;3, 0, 0;
1787172340.161084497 0, 33970, 99;1, 37974, 99;2, 0, 0;3, 0, 0;
1787172342.441680819 0, 33970, 100;1, 37974, 99;2, 0, 0;3, 0, 0;
1787172344.725005705 0, 33970, 99;1, 37974, 99;2, 0, 0;3, 0, 0;
1787172347.007661482 0, 33586, 99;1, 37974, 99;2, 0, 0;3, 0, 0;
1787172349.283422820 0, 33586, 99;1, 37974, 99;2, 0, 0;3, 0, 0;
1787172351.564785947 0, 33586, 99;1, 37974, 99;2, 0, 0;3, 0, 0;
1787172353.848482798 0, 33586, 99;1, 37974, 99;2, 0, 0;3, 0, 0;
1787172356.128269135 0, 38718, 100;1, 38002, 99;2, 0, 0;3, 0, 0;
1787172358.419193418 0, 38718, 99;1, 32434, 99;2, 0, 0;3, 0, 0;
1787172360.708551230 0, 38718, 99;1, 32434, 99;2, 0, 0;3, 0, 0;
1787172362.988116479 0, 38718, 99;1, 32436, 99;2, 0, 0;3, 0, 0;
1787172365.278676775 0, 38718, 99;1, 32660, 99;2, 0, 0;3, 0, 0;
1787172367.568537990 0, 38718, 100;1, 32660, 99;2, 0, 0;3, 0, 0;
1787172369.847225701 0, 38830, 99;1, 32660, 99;2, 0, 0;3, 0, 0;
1787172372.147628253 0, 38830, 99;1, 32660, 99;2, 0, 0;3, 0, 0;
1787172374.436848190 0, 38830, 99;1, 32660, 99;2, 0, 0;3, 0, 0;
1787172376.723094434 0, 33698, 100;1, 32660, 98;2, 0, 0;3, 0, 0;
1787172378.999322125 0, 33698, 100;1, 32872, 99;2, 0, 0;3, 0, 0;
1787172381.281511675 0, 33698, 99;1, 32872, 99;2, 0, 0;3, 0, 0;
1787172383.510830059 0, 33698, 100;1, 32872, 99;2, 0, 0;3, 0, 0;
1787172385.805351749 0, 40578, 100;1, 33266, 99;2, 0, 0;3, 0, 0;
1787172388.137208113 0, 41430, 84;1, 32872, 81;2, 0, 0;3, 0, 0;
1787172390.613084486 0, 41792, 99;1, 32984, 99;2, 0, 0;3, 0, 0;
1787172392.875797652 0, 41792, 100;1, 31864, 92;2, 0, 0;3, 0, 0;
1787172395.173249189 0, 41904, 100;1, 24288, 91;2, 0, 0;3, 0, 0;
1787172397.463529847 0, 42020, 99;1, 24288, 91;2, 0, 0;3, 0, 0;
1787172399.745792514 0, 42020, 99;1, 24288, 91;2, 0, 0;3, 0, 0;
1787172402.030535126 0, 42020, 99;1, 24288, 92;2, 0, 0;3, 0, 0;
1787172404.306734456 0, 42020, 99;1, 24176, 92;2, 0, 0;3, 0, 0;
1787172406.583789188 0, 42020, 100;1, 24176, 92;2, 0, 0;3, 0, 0;
1787172408.869390093 0, 42410, 100;1, 27368, 1;2, 0, 0;3, 0, 0;
1787172411.177958213 0, 42164, 100;1, 29790, 48;2, 0, 0;3, 0, 0;
1787172413.467303385 0, 42164, 99;1, 29790, 50;2, 0, 0;3, 0, 0;
1787172415.746000503 0, 42164, 99;1, 29790, 54;2, 0, 0;3, 0, 0;
1787172418.035377537 0, 42154, 60;1, 29790, 45;2, 0, 0;3, 0, 0;
1787172420.331808542 0, 42154, 60;1, 29790, 46;2, 0, 0;3, 0, 0;
1787172422.609643621 0, 42154, 28;1, 29790, 11;2, 0, 0;3, 0, 0;
1787172425.382761349 0, 42154, 0;1, 33374, 6;2, 0, 0;3, 0, 0;
1787172428.406468240 0, 33948, 60;1, 37634, 49;2, 0, 0;3, 0, 0;
1787172430.652084195 0, 33948, 57;1, 37634, 48;2, 0, 0;3, 0, 0;
1787172432.929520528 0, 33948, 58;1, 37634, 46;2, 0, 0;3, 0, 0;
1787172435.148531856 0, 33948, 57;1, 37634, 46;2, 0, 0;3, 0, 0;
1787172437.395421915 0, 33948, 60;1, 37634, 45;2, 0, 0;3, 0, 0;
1787172439.621099285 0, 33948, 59;1, 37634, 48;2, 0, 0;3, 0, 0;
1787172441.856667269 0, 33948, 99;1, 37816, 97;2, 0, 0;3, 0, 0;
1787172444.096918831 0, 37196, 99;1, 37816, 98;2, 0, 0;3, 0, 0;
1787172446.326145548 0, 38326, 99;1, 38174, 42;2, 0, 0;3, 0, 0;
1787172448.583939427 0, 38328, 98;1, 38174, 58;2, 0, 0;3, 0, 0;
1787172450.826052674 0, 38840, 85;1, 38174, 60;2, 0, 0;3, 0, 0;
1787172453.083241113 0, 39482, 99;1, 38174, 58;2, 0, 0;3, 0, 0;
1787172455.335434846 0, 39910, 100;1, 46336, 62;2, 0, 0;3, 0, 0;
1787172457.575246922 0, 31092, 92;1, 28980, 61;2, 0, 0;3, 0, 0;
1787172459.829603540 0, 31476, 91;1, 28980, 61;2, 0, 0;3, 0, 0;
1787172462.131238257 0, 31732, 92;1, 28980, 61;2, 0, 0;3, 0, 0;
1787172464.418401574 0, 31780, 78;1, 28980, 57;2, 0, 0;3, 0, 0;
1787172466.741749545 0, 31780, 94;1, 28980, 59;2, 0, 0;3, 0, 0;
1787172468.994163263 0, 31938, 92;1, 28980, 58;2, 0, 0;3, 0, 0;
1787172471.241946024 0, 31938, 92;1, 28980, 0;2, 0, 0;3, 0, 0;
1787172473.533442161 0, 31938, 98;1, 28980, 59;2, 0, 0;3, 0, 0;
1787172475.770553069 0, 32002, 98;1, 29056, 60;2, 0, 0;3, 0, 0;
1787172478.008479548 0, 32002, 98;1, 29056, 57;2, 0, 0;3, 0, 0;
1787172480.238893908 0, 31942, 99;1, 29056, 60;2, 0, 0;3, 0, 0;
1787172482.478364441 0, 31558, 98;1, 29056, 60;2, 0, 0;3, 0, 0;
