Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/steady_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.6s
Starting TP benchmark: released-prototype_steady_rate8_seed3
Generated 3372 requests
Request model_5#0 arrives at 146024.327798688, sleeping for 0.15078900329535827 seconds
Request model_2#0 arrives at 146024.479146251, sleeping for 0.15867654155590571 seconds
Request model_2#1 arrives at 146024.639147472, sleeping for 0.04336792495450936 seconds
Request model_5#1 arrives at 146024.683310098, sleeping for 0.018726761190919206 seconds
Request model_6#0 arrives at 146024.703287664, sleeping for 0.6741245970188174 seconds
Request model_5#2 arrives at 146025.378084405, sleeping for 0.004611486976500601 seconds
Request model_6#1 arrives at 146025.383308129, sleeping for 0.0791417419386562 seconds
Request model_3#0 arrives at 146025.463527724, sleeping for 0.18794192766654305 seconds
Request model_4#0 arrives at 146025.651930808, sleeping for 0.16873420009505935 seconds
Request model_1#0 arrives at 146025.821364827, sleeping for 0.0048803088429849595 seconds
Request model_5#3 arrives at 146025.826651901, sleeping for 0.003782250889344141 seconds
Request model_3#1 arrives at 146025.830882055, sleeping for 0.0399863307538908 seconds
Request model_3#2 arrives at 146025.871346948, sleeping for 0.1336842168821022 seconds
Request model_6#2 arrives at 146026.005768928, sleeping for 0.04618502303492278 seconds
Request model_6#3 arrives at 146026.053060776, sleeping for 0.29998307122150436 seconds
Request model_1#1 arrives at 146026.353544722, sleeping for 0.04001889389473945 seconds
Request model_5#4 arrives at 146026.393896835, sleeping for 0.18709916938678361 seconds
Request model_6#4 arrives at 146026.58308786, sleeping for 0.08744818749255501 seconds
Request model_1#2 arrives at 146026.672404093, sleeping for 0.08141866140067577 seconds
Request model_6#5 arrives at 146026.754695421, sleeping for 0.16482061007991433 seconds
Request model_2#2 arrives at 146026.920151766, sleeping for 0.5266105904593132 seconds
Request model_2#3 arrives at 146027.447920198, sleeping for 0.00203703431179747 seconds
Request model_1#3 arrives at 146027.45020062, sleeping for 0.11463048963923939 seconds
Request model_6#6 arrives at 146027.565137005, sleeping for 0.07946404471294954 seconds
Request model_3#3 arrives at 146027.645478451, sleeping for 0.12314515703474171 seconds
Request model_3#4 arrives at 146027.769786413, sleeping for 0.08553140796720982 seconds
Request model_4#1 arrives at 146027.856463634, sleeping for 0.05654035959742032 seconds
Request model_3#5 arrives at 146027.913732121, sleeping for 0.03855520565412007 seconds
Request model_6#7 arrives at 146027.953064913, sleeping for 0.06707809123327024 seconds
Request model_5#5 arrives at 146028.02234263, sleeping for 0.1717281420424115 seconds
Request model_5#6 arrives at 146028.194751411, sleeping for 0.07920873817056417 seconds
Request model_6#8 arrives at 146028.275154967, sleeping for 0 seconds
Request model_5#7 arrives at 146028.275883548, sleeping for 0.10072390170535073 seconds
Request model_6#9 arrives at 146028.377446591, sleeping for 0.036054261843673885 seconds
Request model_1#4 arrives at 146028.414273112, sleeping for 0.1765197140921373 seconds
Request model_6#10 arrives at 146028.591598077, sleeping for 0.3806457323662471 seconds
Request model_6#11 arrives at 146028.973371541, sleeping for 0.009511967655271292 seconds
Request model_6#12 arrives at 146028.984793611, sleeping for 0.0033186567889060825 seconds
Request model_6#13 arrives at 146028.989024384, sleeping for 0.03118131763767451 seconds
Request model_2#4 arrives at 146029.0204677, sleeping for 0.20772459960426204 seconds
Request model_5#8 arrives at 146029.228873741, sleeping for 0.11631901146029122 seconds
Request model_6#14 arrives at 146029.345879707, sleeping for 0.18889821306220256 seconds
Request model_6#15 arrives at 146029.535070403, sleeping for 0.28313116895151325 seconds
Request model_4#2 arrives at 146029.819410267, sleeping for 0.4991444209299516 seconds
Request model_6#16 arrives at 146030.31984806, sleeping for 0.05383721669204533 seconds
Request model_6#17 arrives at 146030.374166775, sleeping for 0 seconds
Request model_5#9 arrives at 146030.374763655, sleeping for 0.0006634093006141484 seconds
Request model_4#3 arrives at 146030.375871676, sleeping for 0.1374546946317423 seconds
Request model_6#18 arrives at 146030.5145657, sleeping for 0.28579937864560634 seconds
Request model_5#10 arrives at 146030.801134727, sleeping for 0.13158546306658536 seconds
Request model_1#5 arrives at 146030.933531356, sleeping for 0.07357635654625483 seconds
Request model_6#19 arrives at 146031.007876547, sleeping for 0.008268830250017345 seconds
Request model_1#6 arrives at 146031.016448074, sleeping for 0.05128532543312758 seconds
Request model_5#11 arrives at 146031.068687828, sleeping for 0.49176333329523914 seconds
Request model_2#5 arrives at 146031.561109894, sleeping for 0.00202853896189481 seconds
Request model_6#20 arrives at 146031.563638556, sleeping for 0.4178359275101684 seconds
Request model_6#21 arrives at 146031.982673633, sleeping for 0.006064093468012288 seconds
Request model_5#12 arrives at 146031.989190758, sleeping for 0.03299075897666626 seconds
Request model_4#4 arrives at 146032.022430146, sleeping for 0.03166485627298243 seconds
Request model_1#7 arrives at 146032.054710242, sleeping for 0.17083537342841737 seconds
Request model_5#13 arrives at 146032.226485254, sleeping for 0.4278986125427764 seconds
Request model_6#22 arrives at 146032.65662008, sleeping for 0 seconds
Request model_6#23 arrives at 146032.657266581, sleeping for 0.038810084748547524 seconds
Request model_5#14 arrives at 146032.696849743, sleeping for 0.10716291444259696 seconds
Request model_3#6 arrives at 146032.805201623, sleeping for 0.48177521547768265 seconds
Request model_5#15 arrives at 146033.288137293, sleeping for 0.10793449662742205 seconds
Request model_6#24 arrives at 146033.396528593, sleeping for 0.09109371356316842 seconds
Request model_6#25 arrives at 146033.48888272, sleeping for 0.0353971132717561 seconds
Request model_4#5 arrives at 146033.52515183, sleeping for 0.1402670917159412 seconds
Request model_6#26 arrives at 146033.666124877, sleeping for 0.1146258200169541 seconds
Request model_5#16 arrives at 146033.781418043, sleeping for 0.2730781546270009 seconds
Request model_6#27 arrives at 146034.05508489, sleeping for 0.04399774019839242 seconds
Request model_3#7 arrives at 146034.099595927, sleeping for 0.2761087638500612 seconds
Request model_6#28 arrives at 146034.377520407, sleeping for 0.19180587359005585 seconds
Request model_6#29 arrives at 146034.570417828, sleeping for 0.022965866315644234 seconds
Request model_6#30 arrives at 146034.593766167, sleeping for 0.06434607040137053 seconds
Request model_6#31 arrives at 146034.659080051, sleeping for 0.047637631301768124 seconds
Request model_4#6 arrives at 146034.707303811, sleeping for 0.10018553942791186 seconds
Request model_3#8 arrives at 146034.808597586, sleeping for 0.09029701864346862 seconds
Request model_4#7 arrives at 146034.900805742, sleeping for 0.29645398393040523 seconds
Request model_5#17 arrives at 146035.19849344, sleeping for 0 seconds
Request model_5#18 arrives at 146035.19919087, sleeping for 0.11276313537382521 seconds
Request model_4#8 arrives at 146035.312805275, sleeping for 0.007157276471843943 seconds
Request model_1#8 arrives at 146035.320494581, sleeping for 0.022698108659824356 seconds
Request model_6#32 arrives at 146035.343730701, sleeping for 0.0904386097099632 seconds
Request model_4#9 arrives at 146035.435063687, sleeping for 0.03391450087656267 seconds
Request model_3#9 arrives at 146035.469335375, sleeping for 0.014951748540624976 seconds
Request model_6#33 arrives at 146035.484924998, sleeping for 0.13416666584089398 seconds
Request model_4#10 arrives at 146035.621122341, sleeping for 0.027109918708447367 seconds
Request model_2#6 arrives at 146035.649431265, sleeping for 0.02787494260701351 seconds
Request model_5#19 arrives at 146035.677692368, sleeping for 0.13370637837215327 seconds
Request model_4#11 arrives at 146035.812465671, sleeping for 0.2681965186202433 seconds
Request model_6#34 arrives at 146036.080964064, sleeping for 0.08583924476988614 seconds
Request model_4#12 arrives at 146036.167326066, sleeping for 0.001431447424693033 seconds
Request model_3#10 arrives at 146036.169675988, sleeping for 0.18719145352952182 seconds
Request model_5#20 arrives at 146036.357388465, sleeping for 0.08017778390785679 seconds
Request model_4#13 arrives at 146036.438774603, sleeping for 0.04720191759406589 seconds
Request model_1#9 arrives at 146036.486404962, sleeping for 0.017461869021644816 seconds
Request model_2#7 arrives at 146036.504801328, sleeping for 0.19334730098489672 seconds
Request model_2#8 arrives at 146036.69897674, sleeping for 0.11013238938176073 seconds
Request model_4#14 arrives at 146036.809412192, sleeping for 0.021154414542252198 seconds
Request model_6#35 arrives at 146036.83121833, sleeping for 0.006026990333339199 seconds
Request model_4#15 arrives at 146036.837526715, sleeping for 0.22155714596738108 seconds
Request model_3#11 arrives at 146037.060549361, sleeping for 0.09113202028675005 seconds
Request model_2#9 arrives at 146037.152551318, sleeping for 0.003965313953813165 seconds
Request model_6#36 arrives at 146037.156937062, sleeping for 0.5594203288783319 seconds
Request model_6#37 arrives at 146037.71754773, sleeping for 0.1843210702354554 seconds
Request model_6#38 arrives at 146037.903113515, sleeping for 0.15403332505957223 seconds
Request model_6#39 arrives at 146038.057915855, sleeping for 0.00577136900392361 seconds
Request model_3#12 arrives at 146038.06390602, sleeping for 0.014009611593792215 seconds
Request model_4#16 arrives at 146038.079448813, sleeping for 0.015391795517643914 seconds
Request model_6#40 arrives at 146038.095865406, sleeping for 0.026888377295108512 seconds
Request model_4#17 arrives at 146038.12426355, sleeping for 0.5236613373563159 seconds
Request model_6#41 arrives at 146038.648985369, sleeping for 0.016096644016215578 seconds
Request model_5#21 arrives at 146038.665472153, sleeping for 0.4353983119362965 seconds
Request model_6#42 arrives at 146039.101874868, sleeping for 0.22000139416195452 seconds
Request model_5#22 arrives at 146039.322196603, sleeping for 0.05603753123432398 seconds
Request model_4#18 arrives at 146039.37869835, sleeping for 0.0908342944458127 seconds
Request model_1#10 arrives at 146039.470122367, sleeping for 0.10348834790056571 seconds
Request model_6#43 arrives at 146039.575552245, sleeping for 0.11750679797842167 seconds
Request model_2#10 arrives at 146039.694154695, sleeping for 0.047100831870920956 seconds
Request model_6#44 arrives at 146039.741916915, sleeping for 0.030314012663438916 seconds
Request model_6#45 arrives at 146039.773294591, sleeping for 0.022335804387694225 seconds
Request model_4#19 arrives at 146039.796617691, sleeping for 0.2946650849771686 seconds
Request model_3#13 arrives at 146040.092465089, sleeping for 0.0006989949615672231 seconds
Request model_6#46 arrives at 146040.09358296, sleeping for 0.02033854040200822 seconds
Request model_4#20 arrives at 146040.114284957, sleeping for 0.08123250029166229 seconds
Request model_5#23 arrives at 146040.196708656, sleeping for 0.010104785964358598 seconds
Request model_2#11 arrives at 146040.208100986, sleeping for 0.15953898493899032 seconds
Request model_6#47 arrives at 146040.368773251, sleeping for 0.011807402828708291 seconds
Request model_4#21 arrives at 146040.381110181, sleeping for 0.09860315048717894 seconds
Request model_3#14 arrives at 146040.480479454, sleeping for 0.005515295604709536 seconds
Request model_4#22 arrives at 146040.48677625, sleeping for 0.02848321053897962 seconds
Request model_4#23 arrives at 146040.516032994, sleeping for 0.07569899101508781 seconds
Request model_3#15 arrives at 146040.592406339, sleeping for 0.01895732872071676 seconds
Request model_3#16 arrives at 146040.612728156, sleeping for 0.012542266049422324 seconds
Request model_5#24 arrives at 146040.625937877, sleeping for 0.18605624668998644 seconds
Request model_6#48 arrives at 146040.812487614, sleeping for 0.17945634681382217 seconds
Request model_4#24 arrives at 146040.992367235, sleeping for 0.11703556889551692 seconds
Request model_3#17 arrives at 146041.110156134, sleeping for 0.23355176980840042 seconds
Request model_5#25 arrives at 146041.345908442, sleeping for 0.030297254503238946 seconds
Request model_4#25 arrives at 146041.377336468, sleeping for 0.021535490872338414 seconds
Request model_4#26 arrives at 146041.399595617, sleeping for 0.20648100052494556 seconds
Request model_1#11 arrives at 146041.607280252, sleeping for 0.06355447837268002 seconds
Request model_5#26 arrives at 146041.671696046, sleeping for 0.044114657619502395 seconds
Request model_4#27 arrives at 146041.716150413, sleeping for 0.668266112159472 seconds
Request model_2#12 arrives at 146042.385608647, sleeping for 0.08887737774057314 seconds
Request model_3#18 arrives at 146042.475614603, sleeping for 0.05436777780414559 seconds
Request model_3#19 arrives at 146042.5310605, sleeping for 0.031835840025451034 seconds
Request model_2#13 arrives at 146042.563534777, sleeping for 0.3338776429882273 seconds
Request model_4#28 arrives at 146042.897963469, sleeping for 0.18215286589111201 seconds
Request model_3#20 arrives at 146043.080545473, sleeping for 0.3898183940036688 seconds
Request model_1#12 arrives at 146043.470823733, sleeping for 0.27121862780768424 seconds
Request model_3#21 arrives at 146043.742909112, sleeping for 0.2866252658131998 seconds
Request model_4#29 arrives at 146044.030751886, sleeping for 0.08451568734017201 seconds
Request model_6#49 arrives at 146044.116213358, sleeping for 0.11157882490078919 seconds
Request model_5#27 arrives at 146044.228808823, sleeping for 0.09039960501831956 seconds
Request model_5#28 arrives at 146044.31969366, sleeping for 0.25138681195676327 seconds
Request model_3#22 arrives at 146044.572250563, sleeping for 0.11697901488514617 seconds
Request model_2#14 arrives at 146044.689677753, sleeping for 0.16820000048028305 seconds
Request model_4#30 arrives at 146044.858756626, sleeping for 0.1928461987117771 seconds
Request model_6#50 arrives at 146045.05243258, sleeping for 0.11464970273664221 seconds
