1787169783.836996096 0, 35768, 52;1, 35806, 34;2, 0, 0;3, 0, 0;
1787169786.106544353 0, 35828, 1;1, 35808, 0;2, 0, 0;3, 0, 0;
1787169788.379622091 0, 35948, 100;1, 35898, 99;2, 0, 0;3, 0, 0;
1787169790.653341937 0, 36370, 100;1, 36064, 100;2, 0, 0;3, 0, 0;
1787169792.926810491 0, 36916, 100;1, 36180, 100;2, 0, 0;3, 0, 0;
1787169795.164819964 0, 36916, 100;1, 36446, 99;2, 0, 0;3, 0, 0;
1787169797.452535576 0, 36918, 100;1, 36446, 100;2, 0, 0;3, 0, 0;
1787169799.734187060 0, 37062, 100;1, 37006, 100;2, 0, 0;3, 0, 0;
1787169802.014957522 0, 37064, 100;1, 37142, 100;2, 0, 0;3, 0, 0;
1787169804.289451626 0, 37200, 100;1, 37142, 100;2, 0, 0;3, 0, 0;
1787169806.561650396 0, 37258, 100;1, 37618, 100;2, 0, 0;3, 0, 0;
1787169808.831537002 0, 37322, 100;1, 37618, 100;2, 0, 0;3, 0, 0;
1787169811.103766018 0, 37322, 100;1, 37642, 100;2, 0, 0;3, 0, 0;
1787169813.378759473 0, 37322, 100;1, 37754, 100;2, 0, 0;3, 0, 0;
1787169815.652193545 0, 37322, 100;1, 37866, 100;2, 0, 0;3, 0, 0;
1787169817.929137227 0, 37378, 100;1, 37866, 100;2, 0, 0;3, 0, 0;
1787169820.198165791 0, 37448, 99;1, 37866, 100;2, 0, 0;3, 0, 0;
1787169822.464215089 0, 37704, 100;1, 37962, 100;2, 0, 0;3, 0, 0;
1787169824.738077331 0, 37916, 100;1, 37962, 100;2, 0, 0;3, 0, 0;
1787169827.011921780 0, 38172, 100;1, 37962, 100;2, 0, 0;3, 0, 0;
1787169829.279041692 0, 38172, 99;1, 37962, 100;2, 0, 0;3, 0, 0;
1787169831.546429360 0, 38172, 82;1, 37962, 97;2, 0, 0;3, 0, 0;
1787169834.012129642 0, 38172, 58;1, 37962, 86;2, 0, 0;3, 0, 0;
1787169836.278200715 0, 38300, 100;1, 37962, 100;2, 0, 0;3, 0, 0;
1787169838.548671149 0, 38374, 100;1, 37962, 100;2, 0, 0;3, 0, 0;
1787169840.815746787 0, 38374, 100;1, 37962, 100;2, 0, 0;3, 0, 0;
1787169843.088722908 0, 38374, 100;1, 37962, 100;2, 0, 0;3, 0, 0;
1787169845.357031391 0, 38374, 100;1, 37962, 100;2, 0, 0;3, 0, 0;
1787169847.628677115 0, 38374, 100;1, 37962, 100;2, 0, 0;3, 0, 0;
1787169849.901465967 0, 38374, 100;1, 37962, 100;2, 0, 0;3, 0, 0;
1787169852.170664123 0, 38374, 100;1, 37962, 96;2, 0, 0;3, 0, 0;
1787169854.441451107 0, 38374, 100;1, 37962, 99;2, 0, 0;3, 0, 0;
1787169856.712432218 0, 38374, 100;1, 37962, 100;2, 0, 0;3, 0, 0;
1787169858.994140876 0, 38374, 100;1, 38074, 100;2, 0, 0;3, 0, 0;
1787169861.267384764 0, 38374, 100;1, 38074, 100;2, 0, 0;3, 0, 0;
1787169863.535327013 0, 38374, 100;1, 38162, 99;2, 0, 0;3, 0, 0;
1787169865.811709187 0, 38374, 100;1, 38162, 100;2, 0, 0;3, 0, 0;
1787169868.083315944 0, 38374, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169870.356575189 0, 38374, 100;1, 38274, 99;2, 0, 0;3, 0, 0;
1787169872.629168120 0, 38374, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169874.895846942 0, 38374, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169877.171911080 0, 38246, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169879.446758024 0, 38118, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169881.716799839 0, 38118, 99;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169883.994109638 0, 38118, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169886.270703444 0, 38118, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169888.539439578 0, 38118, 99;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169890.817513688 0, 38118, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169893.093842632 0, 38118, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169895.361607255 0, 38118, 100;1, 38274, 99;2, 0, 0;3, 0, 0;
1787169897.632743458 0, 38230, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169899.905107988 0, 38486, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169902.178637726 0, 38486, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169904.453460351 0, 38486, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169906.707636473 0, 38486, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169908.979364758 0, 38486, 90;1, 38274, 95;2, 0, 0;3, 0, 0;
1787169911.436867343 0, 38486, 99;1, 38274, 90;2, 0, 0;3, 0, 0;
1787169913.704390677 0, 38486, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
1787169915.981673917 0, 38486, 100;1, 38274, 100;2, 0, 0;3, 0, 0;
