request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_6#0,model_6,0.3705079585887239,1.8204354575826533,305,36,0.20377779006958008,0.03443960348765055,1.4499274989939295,0.6012606620788574,0.037298424169421196,1,1,1,1,0
model_6#1,model_6,0.7634175944440869,1.5041304334482049,467,16,0.24043631553649902,0.030630305409431458,0.740712839004118,0.6012606620788574,0.037298424169421196,1,1,1,1,0
model_5#0,model_5,0.9161988881784588,1.7896175701713752,769,16,0.2762141227722168,0.036769092082977295,0.8734186819929164,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_1#0,model_1,1.0010833570863964,11.591727865075452,45,384,0.15594077110290527,0.027141577874620754,10.590644507989055,0.14725327491760254,0.021735001355409622,0,0,0,1,0
model_1#1,model_1,1.0691200034646875,8.785634884466473,8,291,0.19894814491271973,0.025796253656603627,7.716514881001785,0.14725327491760254,0.021735001355409622,0,0,0,1,0
model_1#2,model_1,1.126859207530173,1.4679873365474796,1286,16,0.14222168922424316,0.011941269040107727,0.3411281290173065,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_5#1,model_5,1.1283650069294238,22.183549064930457,212,384,0.13553452491760254,0.054449486235777535,21.055184058001032,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_5#2,model_5,1.1309878786016236,4.004757286606215,8,80,0.1335587501525879,0.03418432176113129,2.8737694080045912,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_3#0,model_3,1.162131116703713,2.076642156702328,256,26,0.13113617897033691,0.02992249452150785,0.9145110399986152,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_5#3,model_5,1.2349781755670497,1.7891004895696474,763,16,0.17167115211486816,0.023447975516319275,0.5541223140025977,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_3#1,model_3,1.2429637446053765,1.6997532036199208,431,16,0.1018836498260498,0.021858125925064087,0.45678945901454426,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_5#4,model_5,1.4052816472176466,22.22632576023899,19,384,0.05646800994873047,0.05404793036480745,20.821044113021344,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_6#2,model_6,1.8299591000500115,4.433578734049199,1847,52,0.2951018810272217,0.044108487092531644,2.6036196339991875,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_1#3,model_1,2.0582797377003437,7.661068297676378,13,204,0.11408042907714844,0.02686324774050245,5.602788559976034,0.14725327491760254,0.021735001355409622,1,0,0,1,0
model_5#5,model_5,2.0690103455966247,23.415046445600026,427,384,0.1330411434173584,0.05521059843401114,21.346036100003403,0.6448996067047119,0.040172288194298744,1,0,0,1,0
