request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_3#0,model_3,0.15798739989438207,0.7730277908794686,256,26,0.08724832534790039,0.02006960832155668,0.6150403909850866,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_4#0,model_4,0.3165933018696464,3.0133277008805393,229,132,0.09025931358337402,0.019698569268891304,2.696734399010893,0.3274989128112793,0.04136216081678867,1,1,1,1,0
model_4#1,model_4,0.3556537043987044,6.811560764406734,634,333,0.08680272102355957,0.01908992790245079,6.45590706000803,0.3274989128112793,0.04136216081678867,1,1,1,1,0
model_4#2,model_4,0.5365519630560605,1.1035074500379571,472,26,0.10826778411865234,0.01712960463303786,0.5669554869818967,0.3274989128112793,0.04136216081678867,1,1,1,1,0
model_1#0,model_1,0.5486528242245485,6.323976355232874,45,384,0.12471127510070801,0.014689115807414055,5.7753235310083255,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_3#1,model_3,0.6462611159366264,0.9085747449133253,431,16,0.041895389556884766,0.013388440012931824,0.26231362897669896,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_1#1,model_1,0.7179557380690306,4.889390285064473,8,291,0.029582500457763672,0.014200829148702196,4.171434546995442,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_1#2,model_1,0.772756734088367,1.0115384670901821,1286,16,0.0520327091217041,0.011247292160987854,0.23878173300181516,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_1#3,model_1,1.1029993169916585,3.976487359990019,13,204,0.02837061882019043,0.013902128911485859,2.8734880429983605,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_3#2,model_3,1.5260840539550637,4.898939608959271,1354,255,0.10886144638061523,0.012751400704477348,3.3728555550042074,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_1#4,model_1,1.5948878447020554,6.104261350680202,17,298,0.02363896369934082,0.015027835865148761,4.509373505978147,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_3#3,model_3,1.7770328548085201,2.6461697877839,14,71,0.02793288230895996,0.011781356704067176,0.8691369329753798,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_1#5,model_1,2.0121922276975206,2.6036516237017318,64,41,0.030642032623291016,0.013558463352482493,0.5914593960042112,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_1#6,model_1,2.1634301959141213,4.0706948659219835,313,127,0.03194594383239746,0.014707392594945712,1.9072646700078622,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_1#7,model_1,2.234518035260179,8.119496429255149,21,384,0.026482343673706055,0.015230852489670118,5.88497839399497,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_1#8,model_1,2.437907649615341,5.6086770456205395,40,204,0.016893625259399414,0.015423241783590877,3.1707693960051984,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_3#4,model_3,2.5175807571434663,2.7757820121408687,58,16,0.029449462890625,0.014048099517822266,0.25820125499740243,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_4#3,model_4,2.6625725852780837,4.560400784276552,250,95,0.07453346252441406,0.019129303881996556,1.897828198998468,0.3274989128112793,0.04136216081678867,1,1,1,1,0
model_1#9,model_1,2.674597724084569,8.570039122080024,603,384,0.05962347984313965,0.015157941107948622,5.895441397995455,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_4#4,model_4,2.8362101263776265,3.8110206103594817,308,50,0.06938290596008301,0.018010668754577637,0.9748104839818552,0.3274989128112793,0.04136216081678867,1,1,1,1,0
model_1#10,model_1,3.334551115995126,6.339992804985812,12,194,0.028542518615722656,0.015308066741707399,3.005441688990686,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_4#5,model_4,3.365270653108701,3.705912132116601,771,16,0.08562946319580078,0.015556707978248596,0.34064147900789976,0.3274989128112793,0.04136216081678867,1,1,1,1,0
model_3#5,model_3,3.419208872738613,4.561445779715518,90,90,0.03236198425292969,0.01226587560441759,1.1422369069769047,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_1#11,model_1,3.512959196550964,3.7488805265733567,319,16,0.02724456787109375,0.012607559561729431,0.2359213300223928,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_3#6,model_3,3.753422514893476,6.329567592890829,103,200,0.03253769874572754,0.012683581113815307,2.576145077997353,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_1#12,model_1,3.9299355782480356,4.4732659402564545,8,36,0.02459883689880371,0.014277358849843344,0.5433303620084189,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_4#6,model_4,3.961821115173202,10.904906623157707,386,384,0.06551861763000488,0.017879971613486607,6.943085507984506,0.3274989128112793,0.04136216081678867,1,1,1,1,0
model_1#13,model_1,4.0324018114588895,10.045771651446607,40,384,0.02174973487854004,0.015577324976523718,6.013369839987718,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_1#14,model_1,4.1751677425808635,5.19814265259168,14,59,0.03016209602355957,0.016735703258191126,1.0229749100108165,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_1#15,model_1,4.34771503456512,4.592526064553461,531,16,0.04469013214111328,0.012194067239761353,0.24481102998834103,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_1#16,model_1,4.5802819901304614,8.248885702124827,10,235,0.023312807083129883,0.015481525786379551,3.668603711994365,0.14725327491760254,0.021735001355409622,1,1,1,1,0
model_1#17,model_1,4.64386762780599,5.227476795816288,118,30,0.028360366821289062,0.018365208307902017,0.5836091680102982,0.14725327491760254,0.021735001355409622,1,1,1,1,0
