request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_2#0,model_2,0.002523480954177426,6.9573877079634165,76,202,0.0885009765625,0.033943823068448814,6.954864227009239,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_4#0,model_4,0.0415102274427781,15.959516894436966,84,384,0.13058686256408691,0.041084988663593926,15.918006666994188,0.3274989128112793,0.04136216081678867,1,1,1,1,0
model_5#0,model_5,0.22465751581385085,0.9213426517895638,356,16,0.12485241889953613,0.0354170948266983,0.6966851359757129,0.6448996067047119,0.040172288194298744,1,1,1,1,0
model_5#1,model_5,0.28132731520425613,26.972291685209786,22,384,0.10567688941955566,0.06919973529875278,26.69096437000553,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_2#1,model_2,1.4618924827709523,10.927865628768803,90,248,0.046753644943237305,0.03794466583959518,9.46597314599785,0.22660613059997559,0.03378264047205448,1,0,0,1,0
model_6#0,model_6,1.6462796414476166,4.590069915450439,163,69,0.09690666198730469,0.04117511320805204,2.943790274002822,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_5#2,model_5,1.750790930846804,3.95919422883783,142,47,0.07071971893310547,0.04536991423748909,2.208403297991026,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_5#3,model_5,1.88050304849805,11.202631477488303,10,157,0.04475998878479004,0.05904865264892578,9.322128428990254,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_6#1,model_6,1.889431746837087,12.48308472883991,23,226,0.029781341552734375,0.04670295673134053,10.593652982002823,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_5#4,model_5,2.0126397074514157,6.406239597478378,10,84,0.0941622257232666,0.05111773241133917,4.393599890026962,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_4#1,model_4,2.160692179385224,13.834355919373339,27,277,0.07432150840759277,0.04184188739487411,11.673663739988115,0.3274989128112793,0.04136216081678867,1,0,0,1,0
model_3#0,model_3,2.2698841039647144,11.547757035962704,17,195,0.20205116271972656,0.046500334372887246,9.27787293199799,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_3#1,model_3,2.610902307646852,21.18150047964164,8,384,0.06429481506347656,0.0481628825267156,18.57059817199479,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_3#2,model_3,2.8185474409700784,6.910528419962148,359,78,0.16846609115600586,0.05014451344807943,4.091980978992069,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_3#3,model_3,2.835761642038739,21.413547796036035,8,384,0.2054147720336914,0.047814441844820976,18.577786153997295,0.3281092643737793,0.03691067732870579,1,0,0,1,0
model_1#0,model_1,3.342000038713251,4.343218040711746,483,32,0.23427605628967285,0.023325055837631226,1.0012180019984953,0.14725327491760254,0.021735001355409622,0,0,0,1,0
model_3#4,model_3,3.490384733336944,4.462792160342181,308,27,0.06423115730285645,0.03344440460205078,0.972407427005237,0.3281092643737793,0.03691067732870579,1,1,1,1,0
model_6#2,model_6,3.7691707400919094,16.28450660910687,17,260,0.0489962100982666,0.04791123775335459,12.515335869014962,0.6012606620788574,0.037298424169421196,1,0,0,1,0
model_5#5,model_5,3.956488439430066,20.84149663440865,68,225,0.08746862411499023,0.07462089008755154,16.88500819497858,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_4#2,model_4,4.00364417736289,5.128811710361493,18,29,0.08791422843933105,0.035586776404545224,1.1251675329986028,0.3274989128112793,0.04136216081678867,1,1,1,1,0
model_5#6,model_5,4.005281543846262,7.306215624841183,175,56,0.09082293510437012,0.05710920691490173,3.300934080994921,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_5#7,model_5,4.201978190617856,33.841490218610026,16,384,0.05823636054992676,0.07699890745182832,29.63951202799217,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_5#8,model_5,4.470343342757273,8.493143542764896,56,66,0.08517169952392578,0.059585434017759384,4.022800200007623,0.6448996067047119,0.040172288194298744,1,0,0,1,0
model_3#5,model_3,4.674101053384558,9.63314953338374,297,99,0.14259004592895508,0.04858323540350403,4.959048479999183,0.3281092643737793,0.03691067732870579,1,0,0,1,0
