Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: paper-faithful-v4_bursty_rate8_seed1
Generated 3387 requests
Request model_5#0 arrives at 182391.930917219, sleeping for 0.19896399430581369 seconds
Request model_2#0 arrives at 182392.130228229, sleeping for 0.17814581593847834 seconds
Request model_2#1 arrives at 182392.30949692, sleeping for 0.03501916115055792 seconds
Request model_2#2 arrives at 182392.345333504, sleeping for 0.08860761520918459 seconds
Request model_5#1 arrives at 182392.434909316, sleeping for 0.08260946162045002 seconds
Request model_2#3 arrives at 182392.518491826, sleeping for 0.1322108823515009 seconds
Request model_2#4 arrives at 182392.651149339, sleeping for 0.09863288910128176 seconds
Request model_5#2 arrives at 182392.750865501, sleeping for 0.06626091166981496 seconds
Request model_2#5 arrives at 182392.817422389, sleeping for 0.03271170213702135 seconds
Request model_2#6 arrives at 182392.850961766, sleeping for 0.25257872010115534 seconds
Request model_2#7 arrives at 182393.104689887, sleeping for 0.3887510344211478 seconds
Request model_5#3 arrives at 182393.493734768, sleeping for 0.14922858061618172 seconds
Request model_2#8 arrives at 182393.643386845, sleeping for 0.13576728332554922 seconds
Request model_3#0 arrives at 182393.78007961, sleeping for 0.7009391588508151 seconds
Request model_5#4 arrives at 182394.483798285, sleeping for 0.04393445429741405 seconds
Request model_3#1 arrives at 182394.528536098, sleeping for 0.01167906157206744 seconds
Request model_3#2 arrives at 182394.541217898, sleeping for 0.04467595636378974 seconds
Request model_2#9 arrives at 182394.586792067, sleeping for 0.20575043073040433 seconds
Request model_5#5 arrives at 182394.794914831, sleeping for 0.13726990213035606 seconds
Request model_2#10 arrives at 182394.932908731, sleeping for 0.11939499108120799 seconds
Request model_2#11 arrives at 182395.054259086, sleeping for 0.06319360953057185 seconds
Request model_2#12 arrives at 182395.118067082, sleeping for 0.047087250073673204 seconds
Request model_2#13 arrives at 182395.166032844, sleeping for 0.16180004409397952 seconds
Request model_2#14 arrives at 182395.329046407, sleeping for 0.04272992676123977 seconds
Request model_2#15 arrives at 182395.372914923, sleeping for 0.061363950109807774 seconds
