Real trace file: /workspace/prism-merge/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: paper-faithful-v6_bursty_rate8_seed1
Generated 3387 requests
Request model_5#0 arrives at 1582765.75483512, sleeping for 0.1989630162715912 seconds
Request model_2#0 arrives at 1582765.954263396, sleeping for 0.17802874208427966 seconds
Request model_2#1 arrives at 1582766.133264891, sleeping for 0.03516943193972111 seconds
Request model_2#2 arrives at 1582766.169616448, sleeping for 0.08824257412925363 seconds
Request model_5#1 arrives at 1582766.258939019, sleeping for 0.08249763143248856 seconds
Request model_2#3 arrives at 1582766.342183715, sleeping for 0.1324373062234372 seconds
Request model_2#4 arrives at 1582766.475589119, sleeping for 0.09811064112000167 seconds
Request model_5#2 arrives at 1582766.574482528, sleeping for 0.06656561745330691 seconds
Request model_2#5 arrives at 1582766.641489956, sleeping for 0.03256162814795971 seconds
Request model_2#6 arrives at 1582766.674742404, sleeping for 0.2527163252234459 seconds
Request model_2#7 arrives at 1582766.928734666, sleeping for 0.3886250073555857 seconds
Request model_5#3 arrives at 1582767.318765607, sleeping for 0.14811549452133477 seconds
Request model_2#8 arrives at 1582767.467206131, sleeping for 0.135864969342947 seconds
Request model_3#0 arrives at 1582767.603999686, sleeping for 0.7009359246585518 seconds
Request model_5#4 arrives at 1582768.306443199, sleeping for 0.045206902315840125 seconds
Request model_3#1 arrives at 1582768.352748935, sleeping for 0.011383896693587303 seconds
Request model_3#2 arrives at 1582768.365042129, sleeping for 0.04476880747824907 seconds
Request model_2#9 arrives at 1582768.410139907, sleeping for 0.20632028277032077 seconds
Request model_5#5 arrives at 1582768.618840401, sleeping for 0.1372616020962596 seconds
Request model_2#10 arrives at 1582768.757368566, sleeping for 0.11885245819576085 seconds
Request model_2#11 arrives at 1582768.877687243, sleeping for 0.06368263438344002 seconds
Request model_2#12 arrives at 1582768.9427167, sleeping for 0.046355294063687325 seconds
Request model_2#13 arrives at 1582768.989446709, sleeping for 0.1623024281580001 seconds
Request model_2#14 arrives at 1582769.152616931, sleeping for 0.04307686467655003 seconds
Request model_2#15 arrives at 1582769.196304441, sleeping for 0.061892534140497446 seconds
Request model_3#3 arrives at 1582769.259325237, sleeping for 0.03729500970803201 seconds
Request model_3#4 arrives at 1582769.297567105, sleeping for 0.21131046768277884 seconds
Request model_2#16 arrives at 1582769.510004951, sleeping for 0.08658138196915388 seconds
Request model_2#17 arrives at 1582769.597531943, sleeping for 0 seconds
Request model_2#18 arrives at 1582769.598008166, sleeping for 0.0028401317540556192 seconds
Request model_5#6 arrives at 1582769.601008144, sleeping for 0.3766214260831475 seconds
Request model_2#19 arrives at 1582769.978052361, sleeping for 0.08140152413398027 seconds
Request model_2#20 arrives at 1582770.060638853, sleeping for 0.3301293479744345 seconds
Request model_2#21 arrives at 1582770.393062555, sleeping for 0.05266403313726187 seconds
Request model_2#22 arrives at 1582770.447851793, sleeping for 0.022875147871673107 seconds
Request model_2#23 arrives at 1582770.471899326, sleeping for 0.09013939648866653 seconds
Request model_6#0 arrives at 1582770.563010929, sleeping for 0.15172912389971316 seconds
Request model_2#24 arrives at 1582770.715513559, sleeping for 0.3107270593754947 seconds
Request model_2#25 arrives at 1582771.027235298, sleeping for 0.11480420106090605 seconds
Request model_2#26 arrives at 1582771.142629096, sleeping for 0.2609812938608229 seconds
Request model_2#27 arrives at 1582771.404110037, sleeping for 0.043366471538320184 seconds
Request model_2#28 arrives at 1582771.448207529, sleeping for 0.23587232688441873 seconds
Request model_3#5 arrives at 1582771.684953532, sleeping for 0.22170921135693789 seconds
Request model_3#6 arrives at 1582771.907256818, sleeping for 0.09500287496484816 seconds
Request model_2#29 arrives at 1582772.002615798, sleeping for 0.039226483553647995 seconds
Request model_2#30 arrives at 1582772.042869018, sleeping for 0.10557870310731232 seconds
Request model_3#7 arrives at 1582772.150564871, sleeping for 0.060392577201128006 seconds
Request model_2#31 arrives at 1582772.211259383, sleeping for 0.0718520088121295 seconds
Request model_2#32 arrives at 1582772.284975043, sleeping for 0.02312827785499394 seconds
Request model_5#7 arrives at 1582772.308712265, sleeping for 0.018951394595205784 seconds
Request model_2#33 arrives at 1582772.328423152, sleeping for 0.005487295798957348 seconds
Request model_6#1 arrives at 1582772.334123457, sleeping for 0.09205981530249119 seconds
Request model_2#34 arrives at 1582772.427051031, sleeping for 0.0867349177133292 seconds
Request model_2#35 arrives at 1582772.514448673, sleeping for 0.07501634792424738 seconds
Request model_2#36 arrives at 1582772.590678458, sleeping for 0.2745985728688538 seconds
Request model_6#2 arrives at 1582772.866638165, sleeping for 0.19327471405267715 seconds
Request model_2#37 arrives at 1582773.060576303, sleeping for 0.26397104654461145 seconds
Request model_2#38 arrives at 1582773.324949282, sleeping for 0.059278283501043916 seconds
Request model_2#39 arrives at 1582773.385735535, sleeping for 0.1277869581244886 seconds
Request model_2#40 arrives at 1582773.513932561, sleeping for 0.036795639200136065 seconds
Request model_2#41 arrives at 1582773.551670767, sleeping for 0.022367238299921155 seconds
Request model_5#8 arrives at 1582773.574377682, sleeping for 0.02839765464887023 seconds
Request model_2#42 arrives at 1582773.603055843, sleeping for 0.02070591738447547 seconds
Request model_2#43 arrives at 1582773.624729173, sleeping for 0.0829466253053397 seconds
Request model_2#44 arrives at 1582773.708498183, sleeping for 0.11602410767227411 seconds
Request model_5#9 arrives at 1582773.824816948, sleeping for 0.06945628533139825 seconds
Request model_2#45 arrives at 1582773.894665495, sleeping for 0.2135723007377237 seconds
Request model_2#46 arrives at 1582774.109296787, sleeping for 0.025061318883672357 seconds
Request model_5#10 arrives at 1582774.135064951, sleeping for 0.07198059186339378 seconds
Request model_2#47 arrives at 1582774.208905082, sleeping for 0.13765351427718997 seconds
Request model_2#48 arrives at 1582774.348480957, sleeping for 0.06262899725697935 seconds
Request model_5#11 arrives at 1582774.412939722, sleeping for 0.00552213191986084 seconds
Request model_5#12 arrives at 1582774.419489491, sleeping for 0.21205535274930298 seconds
Request model_5#13 arrives at 1582774.632697415, sleeping for 0.09471530350856483 seconds
Request model_3#8 arrives at 1582774.727805764, sleeping for 0.056576135801151395 seconds
Request model_2#49 arrives at 1582774.785545279, sleeping for 0.14182632067240775 seconds
Request model_2#50 arrives at 1582774.9279576, sleeping for 0.04694896377623081 seconds
Request model_6#3 arrives at 1582774.975634294, sleeping for 0.12056217179633677 seconds
Request model_2#51 arrives at 1582775.096434087, sleeping for 0.01583464164286852 seconds
Request model_2#52 arrives at 1582775.113142267, sleeping for 0.05426890286616981 seconds
Request model_2#53 arrives at 1582775.167835863, sleeping for 0.1108273989520967 seconds
Request model_2#54 arrives at 1582775.280414716, sleeping for 0.18719171336852014 seconds
Request model_5#14 arrives at 1582775.468083529, sleeping for 0.1019475469365716 seconds
Request model_3#9 arrives at 1582775.571054564, sleeping for 0.05515378341078758 seconds
Request model_6#4 arrives at 1582775.626710697, sleeping for 0.01821955549530685 seconds
Request model_2#55 arrives at 1582775.647159109, sleeping for 0.018859969917684793 seconds
Request model_6#5 arrives at 1582775.667992534, sleeping for 0.2863971311599016 seconds
Request model_2#56 arrives at 1582775.955368032, sleeping for 0.0024721978697925806 seconds
Request model_3#10 arrives at 1582775.959061354, sleeping for 0.10370155423879623 seconds
Request model_5#15 arrives at 1582776.063235357, sleeping for 0.14241087506525218 seconds
Request model_3#11 arrives at 1582776.206201042, sleeping for 0.045925731770694256 seconds
Request model_2#57 arrives at 1582776.253199793, sleeping for 0.04150750441476703 seconds
Request model_2#58 arrives at 1582776.295335616, sleeping for 0.02822636440396309 seconds
Request model_6#6 arrives at 1582776.324123798, sleeping for 0.06027527619153261 seconds
Request model_5#16 arrives at 1582776.385563946, sleeping for 0.1651916995178908 seconds
Request model_5#17 arrives at 1582776.551969451, sleeping for 0.13481737859547138 seconds
Request model_2#59 arrives at 1582776.688527458, sleeping for 0.3483201109338552 seconds
Request model_2#60 arrives at 1582777.037913738, sleeping for 0.08667974593117833 seconds
Request model_2#61 arrives at 1582777.125847014, sleeping for 0.006680544698610902 seconds
Request model_2#62 arrives at 1582777.1335131, sleeping for 0.023365869652479887 seconds
Request model_3#12 arrives at 1582777.158099887, sleeping for 0.15493436041288078 seconds
Request model_3#13 arrives at 1582777.314195792, sleeping for 0.026791587471961975 seconds
Request model_2#63 arrives at 1582777.342987284, sleeping for 0.04442039760760963 seconds
Request model_2#64 arrives at 1582777.388730538, sleeping for 0.2085039117373526 seconds
Request model_2#65 arrives at 1582777.598444163, sleeping for 0.06917493720538914 seconds
Request model_2#66 arrives at 1582777.66811679, sleeping for 0.1615223460830748 seconds
Request model_5#18 arrives at 1582777.830672483, sleeping for 0.1561062231194228 seconds
Request model_2#67 arrives at 1582777.987584252, sleeping for 0.08740955288521945 seconds
Request model_2#68 arrives at 1582778.124859684, sleeping for 0.11782460031099617 seconds
Request model_6#7 arrives at 1582778.243584225, sleeping for 0.06423928658477962 seconds
Request model_3#14 arrives at 1582778.308359003, sleeping for 0.15705761732533574 seconds
Request model_2#69 arrives at 1582778.46658948, sleeping for 0.11324474471621215 seconds
Request model_2#70 arrives at 1582778.580935985, sleeping for 0.0724435062147677 seconds
Request model_2#71 arrives at 1582778.65535272, sleeping for 0.01634748768992722 seconds
Request model_2#72 arrives at 1582778.673253788, sleeping for 0.4113271217793226 seconds
Request model_2#73 arrives at 1582779.084898913, sleeping for 0.25632000784389675 seconds
Request model_2#74 arrives at 1582779.341936643, sleeping for 0.08438636618666351 seconds
Request model_2#75 arrives at 1582779.426777591, sleeping for 0.3610850425902754 seconds
Request model_2#76 arrives at 1582779.788944381, sleeping for 0.19064166583120823 seconds
Request model_2#77 arrives at 1582779.980853691, sleeping for 0.13082436774857342 seconds
Request model_2#78 arrives at 1582780.112059847, sleeping for 0.062488966854289174 seconds
Request model_2#79 arrives at 1582780.175135005, sleeping for 0.13400628603994846 seconds
Request model_2#80 arrives at 1582780.311235141, sleeping for 0.05846285121515393 seconds
Request model_5#19 arrives at 1582780.370846988, sleeping for 0.21263821586035192 seconds
Request model_2#81 arrives at 1582780.584320398, sleeping for 0.15193554037250578 seconds
Request model_2#82 arrives at 1582780.736711891, sleeping for 0.13781186798587441 seconds
Request model_2#83 arrives at 1582780.876815261, sleeping for 0.17026912583969533 seconds
Request model_3#15 arrives at 1582781.047761486, sleeping for 0.3558210735209286 seconds
Request model_2#84 arrives at 1582781.405734142, sleeping for 0.33380576595664024 seconds
Request model_2#85 arrives at 1582781.741017033, sleeping for 0.2568226756993681 seconds
Request model_6#8 arrives at 1582781.999252862, sleeping for 0.06409107358194888 seconds
Request model_2#86 arrives at 1582782.063662608, sleeping for 0.06429247302003205 seconds
Request model_2#87 arrives at 1582782.128573388, sleeping for 0.040834630373865366 seconds
Request model_2#88 arrives at 1582782.170043217, sleeping for 0.22425984498113394 seconds
Request model_2#89 arrives at 1582782.394906786, sleeping for 0.03592708334326744 seconds
Request model_2#90 arrives at 1582782.432680203, sleeping for 0.046486583072692156 seconds
Request model_5#20 arrives at 1582782.479565474, sleeping for 0.10954542364925146 seconds
Request model_3#16 arrives at 1582782.589495584, sleeping for 0.007081219460815191 seconds
Request model_2#91 arrives at 1582782.597613062, sleeping for 0.14789965259842575 seconds
Request model_2#92 arrives at 1582782.746086013, sleeping for 0.010787957813590765 seconds
Request model_6#9 arrives at 1582782.757495702, sleeping for 0.030563937732949853 seconds
Request model_5#21 arrives at 1582782.788707119, sleeping for 0.08687846222892404 seconds
Request model_5#22 arrives at 1582782.876098943, sleeping for 0.07115778746083379 seconds
Request model_3#17 arrives at 1582782.947837124, sleeping for 0.3942684505600482 seconds
Request model_2#93 arrives at 1582783.343255977, sleeping for 0.10190401040017605 seconds
Request model_2#94 arrives at 1582783.445729772, sleeping for 0.15381108201108873 seconds
Request model_5#23 arrives at 1582783.600780813, sleeping for 0.43890855042263865 seconds
Request model_2#95 arrives at 1582784.040982986, sleeping for 0.20365708135068417 seconds
Request model_2#96 arrives at 1582784.245629895, sleeping for 0.007139322580769658 seconds
Request model_2#97 arrives at 1582784.253603803, sleeping for 0.07414007117040455 seconds
Request model_5#24 arrives at 1582784.328292911, sleeping for 0.2466216590255499 seconds
Request model_2#98 arrives at 1582784.57616027, sleeping for 0.02027467335574329 seconds
Request model_5#25 arrives at 1582784.597256577, sleeping for 0.04892912460491061 seconds
Request model_2#99 arrives at 1582784.647012355, sleeping for 0.4915826083160937 seconds
Request model_3#18 arrives at 1582785.139670245, sleeping for 0.03913493733853102 seconds
Request model_2#100 arrives at 1582785.179282293, sleeping for 0.049207457806915045 seconds
Request model_2#101 arrives at 1582785.229358344, sleeping for 0.08741454547271132 seconds
Request model_2#102 arrives at 1582785.317277182, sleeping for 0.11220393748953938 seconds
Request model_2#103 arrives at 1582785.430156271, sleeping for 0.27571087586693466 seconds
Request model_3#19 arrives at 1582785.706519691, sleeping for 0.14850666769780219 seconds
Request model_2#104 arrives at 1582785.855730758, sleeping for 0.00958505948074162 seconds
Request model_5#26 arrives at 1582785.867277428, sleeping for 0.004624226596206427 seconds
Request model_2#105 arrives at 1582785.872190377, sleeping for 0.2097489272709936 seconds
Request model_6#10 arrives at 1582786.083327785, sleeping for 0.08807034255005419 seconds
Request model_2#106 arrives at 1582786.172779383, sleeping for 0.04000779357738793 seconds
Request model_2#107 arrives at 1582786.213465298, sleeping for 0.020925512304529548 seconds
Request model_6#11 arrives at 1582786.235064478, sleeping for 0.0006394891534000635 seconds
Request model_2#108 arrives at 1582786.235766972, sleeping for 0.04564711498096585 seconds
Request model_2#109 arrives at 1582786.282400262, sleeping for 0.1865651668049395 seconds
Request model_2#110 arrives at 1582786.4699159, sleeping for 0.04739089519716799 seconds
Request model_6#12 arrives at 1582786.518736153, sleeping for 0.053107972955331206 seconds
Request model_5#27 arrives at 1582786.572403946, sleeping for 0.0030060489661991596 seconds
Request model_2#111 arrives at 1582786.576074938, sleeping for 0.20099926670081913 seconds
Request model_2#112 arrives at 1582786.777324788, sleeping for 0.02386960037983954 seconds
Request model_2#113 arrives at 1582786.801570484, sleeping for 0.1494746485259384 seconds
Request model_2#114 arrives at 1582786.952101279, sleeping for 0.09354860591702163 seconds
Request model_2#115 arrives at 1582787.045926383, sleeping for 0.17853171029128134 seconds
Request model_2#116 arrives at 1582787.225677394, sleeping for 0.198096466017887 seconds
Request model_2#117 arrives at 1582787.424605461, sleeping for 0.07934396667405963 seconds
Request model_2#118 arrives at 1582787.504488552, sleeping for 0.11140936031006277 seconds
Request model_2#119 arrives at 1582787.616669606, sleeping for 0.17622993141412735 seconds
Request model_2#120 arrives at 1582787.793647001, sleeping for 0.0021450247149914503 seconds
Request model_2#121 arrives at 1582787.796541898, sleeping for 0.03685295581817627 seconds
Request model_6#13 arrives at 1582787.834234115, sleeping for 0.2981155721936375 seconds
Request model_3#20 arrives at 1582788.132857811, sleeping for 0.10268637887202203 seconds
Request model_2#122 arrives at 1582788.235844001, sleeping for 0.11046344833448529 seconds
Request model_2#123 arrives at 1582788.346641068, sleeping for 0.2769874867517501 seconds
Request model_2#124 arrives at 1582788.624705101, sleeping for 0.039280414348468184 seconds
Request model_2#125 arrives at 1582788.664557712, sleeping for 0.15976325143128633 seconds
Request model_2#126 arrives at 1582788.825170438, sleeping for 0.1963703678920865 seconds
Request model_2#127 arrives at 1582789.023115959, sleeping for 0.002421834971755743 seconds
Request model_5#28 arrives at 1582789.025883986, sleeping for 0.07008666195906699 seconds
Request model_2#128 arrives at 1582789.097195705, sleeping for 0.13809820311143994 seconds
Request model_2#129 arrives at 1582789.236203852, sleeping for 0.2084261360578239 seconds
Request model_2#130 arrives at 1582789.445010569, sleeping for 0.042439965764060616 seconds
Request model_2#131 arrives at 1582789.488761103, sleeping for 0.4556362309958786 seconds
Request model_6#14 arrives at 1582789.946127077, sleeping for 0.001138628227636218 seconds
Request model_3#21 arrives at 1582789.947383514, sleeping for 0.013741455506533384 seconds
Request model_2#132 arrives at 1582789.962007702, sleeping for 0.03719619777984917 seconds
Request model_6#15 arrives at 1582789.999691319, sleeping for 0.053112980676814914 seconds
Request model_2#133 arrives at 1582790.053447593, sleeping for 0.027129762340337038 seconds
Request model_2#134 arrives at 1582790.081499282, sleeping for 0.23420920711942017 seconds
Request model_2#135 arrives at 1582790.316556218, sleeping for 0.15504693519324064 seconds
Request model_2#136 arrives at 1582790.472571108, sleeping for 0.1521714034024626 seconds
Request model_2#137 arrives at 1582790.625021296, sleeping for 0.2700365928467363 seconds
Request model_5#29 arrives at 1582790.895507686, sleeping for 0.09148828103207052 seconds
Request model_2#138 arrives at 1582790.98740279, sleeping for 0.08798362081870437 seconds
Request model_2#139 arrives at 1582791.076509426, sleeping for 0.2634404427371919 seconds
Request model_2#140 arrives at 1582791.340595768, sleeping for 0.06465338938869536 seconds
Request model_2#141 arrives at 1582791.40574484, sleeping for 0.12697324831970036 seconds
Request model_5#30 arrives at 1582791.533541891, sleeping for 0.15659113763831556 seconds
Request model_2#142 arrives at 1582791.692105017, sleeping for 0.023800367955118418 seconds
Request model_5#31 arrives at 1582791.716695424, sleeping for 0.045780034735798836 seconds
Request model_3#22 arrives at 1582791.763346246, sleeping for 0.0650928549002856 seconds
Request model_2#143 arrives at 1582791.829228453, sleeping for 0.05998649471439421 seconds
Request model_2#144 arrives at 1582791.890759074, sleeping for 0.01064132247120142 seconds
Request model_2#145 arrives at 1582791.901917981, sleeping for 0.18043019366450608 seconds
Request model_6#16 arrives at 1582792.082907722, sleeping for 0.24124600715003908 seconds
Request model_3#23 arrives at 1582792.325971158, sleeping for 0.0415226083714515 seconds
Request model_2#146 arrives at 1582792.36775954, sleeping for 0.0789375607855618 seconds
Request model_2#147 arrives at 1582792.446958677, sleeping for 0.30606119334697723 seconds
Request model_3#24 arrives at 1582792.75417043, sleeping for 0.033869243459776044 seconds
Request model_6#17 arrives at 1582792.788499987, sleeping for 0.05299118370749056 seconds
Request model_2#148 arrives at 1582792.842669593, sleeping for 0.01711736712604761 seconds
Request model_2#149 arrives at 1582792.861034644, sleeping for 0.026044292841106653 seconds
Request model_2#150 arrives at 1582792.889253764, sleeping for 0.19275983329862356 seconds
Request model_2#151 arrives at 1582793.082822552, sleeping for 0.06123692565597594 seconds
Request model_2#152 arrives at 1582793.144842806, sleeping for 0.10161679214797914 seconds
Request model_2#153 arrives at 1582793.247183363, sleeping for 0.012234661728143692 seconds
Request model_5#32 arrives at 1582793.25985234, sleeping for 0.050316456239670515 seconds
Request model_2#154 arrives at 1582793.31135237, sleeping for 0.01228468818590045 seconds
Request model_2#155 arrives at 1582793.324082977, sleeping for 0.14818202098831534 seconds
Request model_2#156 arrives at 1582793.472977725, sleeping for 0.005371494684368372 seconds
Request model_2#157 arrives at 1582793.4787759, sleeping for 0.029591777129098773 seconds
Request model_2#158 arrives at 1582793.509584996, sleeping for 0.07355107646435499 seconds
Request model_2#159 arrives at 1582793.584477688, sleeping for 0.21842428529635072 seconds
Request model_2#160 arrives at 1582793.804866068, sleeping for 0.06112520466558635 seconds
Request model_5#33 arrives at 1582793.867607556, sleeping for 0.45692995749413967 seconds
Request model_2#161 arrives at 1582794.325689971, sleeping for 0.0032726700883358717 seconds
Request model_5#34 arrives at 1582794.329967276, sleeping for 0.06360577698796988 seconds
Request model_2#162 arrives at 1582794.393748411, sleeping for 0.1898817818146199 seconds
Request model_2#163 arrives at 1582794.58407962, sleeping for 0.044865359319373965 seconds
Request model_2#164 arrives at 1582794.630051848, sleeping for 0.1733721096534282 seconds
Request model_2#165 arrives at 1582794.80429718, sleeping for 0.55298804002814 seconds
Request model_2#166 arrives at 1582795.358519165, sleeping for 0 seconds
Request model_2#167 arrives at 1582795.359485001, sleeping for 0.07383041433058679 seconds
Request model_2#168 arrives at 1582795.4338209, sleeping for 0.09560748934745789 seconds
