1787299638.699783812 0, 33468, 0;1, 33482, 0;2, 0, 0;3, 0, 0;
1787299641.041367496 0, 33576, 0;1, 33918, 0;2, 0, 0;3, 0, 0;
1787299643.366705920 0, 33158, 20;1, 37062, 13;2, 0, 0;3, 0, 0;
1787299645.636385979 0, 33158, 47;1, 37296, 46;2, 0, 0;3, 0, 0;
1787299647.980447688 0, 33158, 23;1, 37298, 39;2, 0, 0;3, 0, 0;
1787299650.342701083 0, 33346, 24;1, 37670, 58;2, 0, 0;3, 0, 0;
1787299652.766711825 0, 33346, 22;1, 37934, 37;2, 0, 0;3, 0, 0;
1787299655.122861977 0, 33346, 24;1, 38046, 39;2, 0, 0;3, 0, 0;
1787299657.459624790 0, 33346, 15;1, 38046, 40;2, 0, 0;3, 0, 0;
1787299659.783222031 0, 33346, 23;1, 38094, 48;2, 0, 0;3, 0, 0;
1787299662.175166968 0, 33538, 24;1, 38206, 48;2, 0, 0;3, 0, 0;
1787299664.520793824 0, 33538, 18;1, 38318, 51;2, 0, 0;3, 0, 0;
1787299666.835636130 0, 33790, 0;1, 38318, 41;2, 0, 0;3, 0, 0;
1787299669.213017090 0, 33884, 30;1, 38542, 45;2, 0, 0;3, 0, 0;
1787299671.508363281 0, 33884, 18;1, 38676, 31;2, 0, 0;3, 0, 0;
1787299673.856299325 0, 40614, 18;1, 37490, 24;2, 0, 0;3, 0, 0;
1787299676.272731150 0, 40976, 12;1, 37907, 22;2, 0, 0;3, 0, 0;
1787299678.839415613 0, 42200, 71;1, 37987, 24;2, 0, 0;3, 0, 0;
1787299681.202779260 0, 42224, 47;1, 38203, 28;2, 0, 0;3, 0, 0;
1787299683.600967086 0, 42448, 22;1, 38205, 41;2, 0, 0;3, 0, 0;
1787299686.564991411 0, 43536, 51;1, 38207, 41;2, 0, 0;3, 0, 0;
1787299689.439242874 0, 43536, 52;1, 38271, 33;2, 0, 0;3, 0, 0;
1787299691.962015145 0, 43792, 40;1, 38335, 37;2, 0, 0;3, 0, 0;
1787299694.381070122 0, 44048, 54;1, 38335, 41;2, 0, 0;3, 0, 0;
1787299696.690054021 0, 44616, 37;1, 38335, 21;2, 0, 0;3, 0, 0;
1787299699.047078749 0, 45000, 39;1, 38335, 20;2, 0, 0;3, 0, 0;
1787299701.444896134 0, 45258, 44;1, 38223, 17;2, 0, 0;3, 0, 0;
1787299703.765968342 0, 44130, 12;1, 42845, 17;2, 0, 0;3, 0, 0;
1787299706.210871417 0, 44940, 37;1, 44537, 5;2, 0, 0;3, 0, 0;
1787299708.579765810 0, 45357, 32;1, 45583, 8;2, 0, 0;3, 0, 0;
1787299710.999392990 0, 45357, 29;1, 46731, 31;2, 0, 0;3, 0, 0;
1787299713.388365718 0, 45357, 28;1, 46783, 41;2, 0, 0;3, 0, 0;
1787299715.835114788 0, 45357, 43;1, 46783, 25;2, 0, 0;3, 0, 0;
1787299718.223469902 0, 45613, 44;1, 46783, 28;2, 0, 0;3, 0, 0;
1787299720.619095548 0, 45741, 40;1, 46783, 38;2, 0, 0;3, 0, 0;
1787299722.982923961 0, 45741, 32;1, 46783, 17;2, 0, 0;3, 0, 0;
1787299725.431582825 0, 45741, 43;1, 46783, 35;2, 0, 0;3, 0, 0;
1787299727.755096729 0, 45741, 47;1, 46783, 34;2, 0, 0;3, 0, 0;
1787299730.150988396 0, 45677, 45;1, 46659, 18;2, 0, 0;3, 0, 0;
1787299732.539685544 0, 45357, 26;1, 45697, 6;2, 0, 0;3, 0, 0;
1787299735.028838540 0, 45357, 35;1, 45697, 27;2, 0, 0;3, 0, 0;
1787299737.456059778 0, 42535, 47;1, 52085, 34;2, 0, 0;3, 0, 0;
1787299739.903635357 0, 42952, 18;1, 52801, 34;2, 0, 0;3, 0, 0;
1787299742.262618319 0, 42952, 21;1, 52979, 41;2, 0, 0;3, 0, 0;
1787299744.947951513 0, 42952, 30;1, 52737, 26;2, 0, 0;3, 0, 0;
1787299747.351866906 0, 42952, 15;1, 53279, 27;2, 0, 0;3, 0, 0;
1787299749.716299507 0, 42952, 20;1, 53279, 52;2, 0, 0;3, 0, 0;
1787299752.117764194 0, 42568, 31;1, 53279, 42;2, 0, 0;3, 0, 0;
1787299754.432495942 0, 42440, 20;1, 53355, 43;2, 0, 0;3, 0, 0;
1787299756.876408953 0, 57072, 0;1, 53579, 18;2, 0, 0;3, 0, 0;
1787299759.216066235 0, 58060, 52;1, 54251, 51;2, 0, 0;3, 0, 0;
1787299762.143290952 0, 57804, 50;1, 54699, 19;2, 0, 0;3, 0, 0;
1787299765.385281612 0, 57804, 47;1, 55345, 32;2, 0, 0;3, 0, 0;
1787299768.287006463 0, 59424, 30;1, 54347, 8;2, 0, 0;3, 0, 0;
1787299770.861610422 0, 60078, 31;1, 54347, 16;2, 0, 0;3, 0, 0;
1787299773.163682146 0, 59822, 52;1, 54683, 18;2, 0, 0;3, 0, 0;
1787299775.578652026 0, 59806, 43;1, 54683, 16;2, 0, 0;3, 0, 0;
1787299777.989233502 0, 59918, 18;1, 54833, 16;2, 0, 0;3, 0, 0;
1787299780.497951694 0, 59918, 50;1, 54833, 14;2, 0, 0;3, 0, 0;
1787299782.845647469 0, 59918, 47;1, 54721, 7;2, 0, 0;3, 0, 0;
1787299785.229535528 0, 59920, 35;1, 54721, 6;2, 0, 0;3, 0, 0;
1787299787.701263477 0, 59920, 26;1, 54721, 12;2, 0, 0;3, 0, 0;
1787299790.215927584 0, 59920, 44;1, 54281, 15;2, 0, 0;3, 0, 0;
1787299792.748370548 0, 59920, 36;1, 52403, 14;2, 0, 0;3, 0, 0;
1787299795.320307218 0, 59920, 38;1, 52403, 15;2, 0, 0;3, 0, 0;
1787299797.791447491 0, 66668, 54;1, 44147, 20;2, 0, 0;3, 0, 0;
1787299800.180223183 0, 67626, 43;1, 44147, 8;2, 0, 0;3, 0, 0;
1787299802.612375595 0, 67626, 27;1, 44147, 8;2, 0, 0;3, 0, 0;
1787299805.053969201 0, 67456, 41;1, 43811, 17;2, 0, 0;3, 0, 0;
1787299807.605962766 0, 59038, 51;1, 43811, 17;2, 0, 0;3, 0, 0;
