Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: paper-faithful-v6_bursty_rate8_seed1
Generated 3387 requests
Request model_5#0 arrives at 186256.660055699, sleeping for 0.19896396427066065 seconds
Request model_2#0 arrives at 186256.859358144, sleeping for 0.17815413992502727 seconds
Request model_2#1 arrives at 186257.038734524, sleeping for 0.03492008612374775 seconds
Request model_2#2 arrives at 186257.074366793, sleeping for 0.08871328720124438 seconds
Request model_5#1 arrives at 186257.163314318, sleeping for 0.08334349963115528 seconds
Request model_2#3 arrives at 186257.247009762, sleeping for 0.13283164633321576 seconds
Request model_2#4 arrives at 186257.381008412, sleeping for 0.09791199510800652 seconds
Request model_5#2 arrives at 186257.479704835, sleeping for 0.0665600776555948 seconds
Request model_2#5 arrives at 186257.546718151, sleeping for 0.03255506113055162 seconds
Request model_2#6 arrives at 186257.579421684, sleeping for 0.253257322096033 seconds
Request model_2#7 arrives at 186257.833197027, sleeping for 0.3893824534025043 seconds
Request model_5#3 arrives at 186258.222981628, sleeping for 0.14912050060229376 seconds
Request model_2#8 arrives at 186258.372855274, sleeping for 0.13543710330850445 seconds
Request model_3#0 arrives at 186258.508568174, sleeping for 0.7015888028545305 seconds
Request model_5#4 arrives at 186259.211314913, sleeping for 0.045556035300251096 seconds
Request model_3#1 arrives at 186259.257176888, sleeping for 0.012176360556622967 seconds
Request model_3#2 arrives at 186259.269741761, sleeping for 0.04529015134903602 seconds
Request model_2#9 arrives at 186259.315290066, sleeping for 0.20639053970808163 seconds
Request model_5#5 arrives at 186259.523125, sleeping for 0.13819686011993326 seconds
Request model_2#10 arrives at 186259.661814054, sleeping for 0.11962781706824899 seconds
Request model_2#11 arrives at 186259.782485481, sleeping for 0.06410506350221112 seconds
Request model_2#12 arrives at 186259.84707222, sleeping for 0.04722005105577409 seconds
Request model_2#13 arrives at 186259.894656359, sleeping for 0.16231311406590976 seconds
Request model_2#14 arrives at 186260.057801265, sleeping for 0.043112907762406394 seconds
Request model_2#15 arrives at 186260.10146816, sleeping for 0.06194864111603238 seconds
Request model_3#3 arrives at 186260.164053259, sleeping for 0.037787744746310636 seconds
Request model_3#4 arrives at 186260.202812068, sleeping for 0.2112865506496746 seconds
Request model_2#16 arrives at 186260.415153575, sleeping for 0.08665352486423217 seconds
Request model_2#17 arrives at 186260.502766543, sleeping for 0 seconds
Request model_2#18 arrives at 186260.503067519, sleeping for 0.003002125769853592 seconds
Request model_5#6 arrives at 186260.506882504, sleeping for 0.3759685030381661 seconds
Request model_2#19 arrives at 186260.883720495, sleeping for 0.08095345619949512 seconds
Request model_2#20 arrives at 186260.965327758, sleeping for 0.33066087996121496 seconds
Request model_2#21 arrives at 186261.296594513, sleeping for 0.05435122229391709 seconds
Request model_2#22 arrives at 186261.35136485, sleeping for 0.024583027814514935 seconds
Request model_2#23 arrives at 186261.376947005, sleeping for 0.09031274460721761 seconds
Request model_6#0 arrives at 186261.467595866, sleeping for 0.15236546492087655 seconds
Request model_2#24 arrives at 186261.620604559, sleeping for 0.310856686293846 seconds
Request model_2#25 arrives at 186261.932528666, sleeping for 0.11473124916665256 seconds
Request model_2#26 arrives at 186262.048308999, sleeping for 0.26052221676218323 seconds
Request model_2#27 arrives at 186262.310111556, sleeping for 0.04258566958014853 seconds
Request model_2#28 arrives at 186262.353719983, sleeping for 0.2355805289116688 seconds
Request model_3#5 arrives at 186262.591569107, sleeping for 0.22031459328718483 seconds
Request model_3#6 arrives at 186262.813079078, sleeping for 0.09440092195291072 seconds
Request model_2#29 arrives at 186262.908424093, sleeping for 0.03863824438303709 seconds
Request model_2#30 arrives at 186262.948075704, sleeping for 0.10559310516691767 seconds
Request model_3#7 arrives at 186263.054088996, sleeping for 0.06208985924604349 seconds
Request model_2#31 arrives at 186263.116677951, sleeping for 0.07165458667441271 seconds
Request model_2#32 arrives at 186263.190306861, sleeping for 0.023018407955532894 seconds
Request model_5#7 arrives at 186263.214319593, sleeping for 0.018564932484878227 seconds
Request model_2#33 arrives at 186263.233887637, sleeping for 0.0052439377177506685 seconds
Request model_6#1 arrives at 186263.239423553, sleeping for 0.09198063539224677 seconds
Request model_2#34 arrives at 186263.332167308, sleeping for 0.08683928684331477 seconds
Request model_2#35 arrives at 186263.420053722, sleeping for 0.07463188498513773 seconds
Request model_2#36 arrives at 186263.495735287, sleeping for 0.274763331952272 seconds
Request model_6#2 arrives at 186263.771866559, sleeping for 0.19326754700159654 seconds
Request model_2#37 arrives at 186263.965591662, sleeping for 0.26417767675593495 seconds
Request model_2#38 arrives at 186264.230422448, sleeping for 0.05902587351738475 seconds
Request model_2#39 arrives at 186264.29125763, sleeping for 0.12748611913411878 seconds
Request model_2#40 arrives at 186264.419922278, sleeping for 0.036027329246280715 seconds
Request model_2#41 arrives at 186264.457504262, sleeping for 0.02175496012205258 seconds
Request model_5#8 arrives at 186264.480083444, sleeping for 0.027913740690564737 seconds
Request model_2#42 arrives at 186264.508967253, sleeping for 0.02001586341066286 seconds
Request model_2#43 arrives at 186264.529654226, sleeping for 0.08324297826038674 seconds
Request model_2#44 arrives at 186264.613293997, sleeping for 0.1164494805270806 seconds
Request model_5#9 arrives at 186264.729951251, sleeping for 0.06954376940848306 seconds
Request model_2#45 arrives at 186264.800598878, sleeping for 0.21285966376308352 seconds
Request model_2#46 arrives at 186265.014333742, sleeping for 0.025244550895877182 seconds
Request model_5#10 arrives at 186265.039866365, sleeping for 0.07239936382393353 seconds
Request model_2#47 arrives at 186265.113480036, sleeping for 0.13829888723557815 seconds
Request model_2#48 arrives at 186265.253015916, sleeping for 0.06330287538003176 seconds
Request model_5#11 arrives at 186265.316651556, sleeping for 0.007030973822111264 seconds
Request model_5#12 arrives at 186265.324120978, sleeping for 0.21264475173666142 seconds
Request model_5#13 arrives at 186265.53718455, sleeping for 0.09544788449420594 seconds
Request model_3#8 arrives at 186265.633133733, sleeping for 0.05646849385811947 seconds
Request model_2#49 arrives at 186265.689879513, sleeping for 0.1427123826870229 seconds
Request model_2#50 arrives at 186265.833548887, sleeping for 0.046578393841627985 seconds
Request model_6#3 arrives at 186265.881251214, sleeping for 0.12016651872545481 seconds
Request model_2#51 arrives at 186266.00191116, sleeping for 0.015578935795929283 seconds
Request model_2#52 arrives at 186266.018498893, sleeping for 0.0541334229928907 seconds
Request model_2#53 arrives at 186266.073054934, sleeping for 0.11082988497219048 seconds
Request model_2#54 arrives at 186266.184389727, sleeping for 0.18843815950094722 seconds
Request model_5#14 arrives at 186266.373066855, sleeping for 0.10218572797020897 seconds
Request model_3#9 arrives at 186266.475951933, sleeping for 0.055477732472354546 seconds
Request model_6#4 arrives at 186266.53190636, sleeping for 0.018244499515276402 seconds
Request model_2#55 arrives at 186266.551539594, sleeping for 0.01969951210776344 seconds
Request model_6#5 arrives at 186266.571863245, sleeping for 0.2877469061058946 seconds
Request model_2#56 arrives at 186266.859812331, sleeping for 0.003248185821576044 seconds
Request model_3#10 arrives at 186266.863476666, sleeping for 0.10450701834633946 seconds
Request model_5#15 arrives at 186266.969083477, sleeping for 0.14178314205491915 seconds
Request model_3#11 arrives at 186267.111188418, sleeping for 0.04615768260555342 seconds
Request model_2#57 arrives at 186267.157687961, sleeping for 0.04223950355662964 seconds
Request model_2#58 arrives at 186267.200284578, sleeping for 0.02849768940359354 seconds
Request model_6#6 arrives at 186267.229826936, sleeping for 0.05979218508582562 seconds
Request model_5#16 arrives at 186267.290403139, sleeping for 0.16557329360512085 seconds
Request model_5#17 arrives at 186267.456285186, sleeping for 0.13572212948929518 seconds
Request model_2#59 arrives at 186267.592210911, sleeping for 0.3498575759876985 seconds
Request model_2#60 arrives at 186267.943120107, sleeping for 0.08669389394344762 seconds
Request model_2#61 arrives at 186268.031811769, sleeping for 0.005934985703788698 seconds
Request model_2#62 arrives at 186268.038411142, sleeping for 0.02368831366766244 seconds
Request model_3#12 arrives at 186268.062938637, sleeping for 0.1553148864186369 seconds
Request model_3#13 arrives at 186268.218501072, sleeping for 0.02770657345536165 seconds
Request model_2#63 arrives at 186268.247092001, sleeping for 0.04553585755638778 seconds
Request model_2#64 arrives at 186268.293653198, sleeping for 0.20880120768561028 seconds
Request model_2#65 arrives at 186268.503248067, sleeping for 0.06959151005139574 seconds
Request model_2#66 arrives at 186268.573002401, sleeping for 0.16185702112852596 seconds
Request model_5#18 arrives at 186268.735566163, sleeping for 0.15643282010569237 seconds
Request model_2#67 arrives at 186268.89216787, sleeping for 0.08804566107573919 seconds
Request model_2#68 arrives at 186268.980799992, sleeping for 0.1671035593317356 seconds
Request model_6#7 arrives at 186269.148069385, sleeping for 0.0649743425019551 seconds
Request model_3#14 arrives at 186269.213746601, sleeping for 0.1568900163692888 seconds
Request model_2#69 arrives at 186269.371433294, sleeping for 0.11362003779504448 seconds
Request model_2#70 arrives at 186269.486253151, sleeping for 0.07234705809969455 seconds
Request model_2#71 arrives at 186269.560501856, sleeping for 0.016419327817857265 seconds
Request model_2#72 arrives at 186269.577109446, sleeping for 0.41269247166928835 seconds
Request model_2#73 arrives at 186269.990557204, sleeping for 0.25588279296061955 seconds
Request model_2#74 arrives at 186270.246864641, sleeping for 0.08467957499669865 seconds
Request model_2#75 arrives at 186270.332128124, sleeping for 0.36095602659042925 seconds
Request model_2#76 arrives at 186270.694239515, sleeping for 0.19056788893067278 seconds
Request model_2#77 arrives at 186270.885817518, sleeping for 0.13108116775401868 seconds
Request model_2#78 arrives at 186271.017552172, sleeping for 0.06221691775135696 seconds
Request model_2#79 arrives at 186271.080159001, sleeping for 0.134202747954987 seconds
Request model_2#80 arrives at 186271.215827089, sleeping for 0.05909136016271077 seconds
Request model_5#19 arrives at 186271.276447323, sleeping for 0.21225761796813458 seconds
Request model_2#81 arrives at 186271.489463869, sleeping for 0.1520124564121943 seconds
Request model_2#82 arrives at 186271.642101465, sleeping for 0.13764319007168524 seconds
Request model_2#83 arrives at 186271.780235213, sleeping for 0.1720694510731846 seconds
Request model_3#15 arrives at 186271.952599076, sleeping for 0.35620371939148754 seconds
Request model_2#84 arrives at 186272.30943921, sleeping for 0.3353206138999667 seconds
Request model_2#85 arrives at 186272.645796789, sleeping for 0.2572639265563339 seconds
Request model_6#8 arrives at 186272.904159846, sleeping for 0.0644048054527957 seconds
Request model_2#86 arrives at 186272.968849546, sleeping for 0.06432659205165692 seconds
Request model_2#87 arrives at 186273.033437608, sleeping for 0.041191287367837504 seconds
Request model_2#88 arrives at 186273.075011534, sleeping for 0.22451293497579172 seconds
Request model_2#89 arrives at 186273.299875065, sleeping for 0.03617963020224124 seconds
Request model_2#90 arrives at 186273.33748985, sleeping for 0.04689815218443982 seconds
Request model_5#20 arrives at 186273.385092875, sleeping for 0.10923933956655674 seconds
Request model_3#16 arrives at 186273.494728295, sleeping for 0.007069585466524586 seconds
Request model_2#91 arrives at 186273.502310555, sleeping for 0.1484232454386074 seconds
Request model_2#92 arrives at 186273.651768873, sleeping for 0.010325343901058659 seconds
Request model_6#9 arrives at 186273.662369505, sleeping for 0.030911280802683905 seconds
Request model_5#21 arrives at 186273.694142648, sleeping for 0.08666341911884956 seconds
Request model_5#22 arrives at 186273.781315742, sleeping for 0.071160744613735 seconds
Request model_3#17 arrives at 186273.853009323, sleeping for 0.39431498767226003 seconds
Request model_2#93 arrives at 186274.24964802, sleeping for 0.1007331443252042 seconds
Request model_2#94 arrives at 186274.351373404, sleeping for 0.15338769697700627 seconds
Request model_5#23 arrives at 186274.505494083, sleeping for 0.43941756046842784 seconds
Request model_2#95 arrives at 186274.946189767, sleeping for 0.2036719994212035 seconds
Request model_2#96 arrives at 186275.150702589, sleeping for 0.007289208646398038 seconds
Request model_2#97 arrives at 186275.15832341, sleeping for 0.07464439418981783 seconds
Request model_5#24 arrives at 186275.234258955, sleeping for 0.24587954609887674 seconds
Request model_2#98 arrives at 186275.481085099, sleeping for 0.020572033303324133 seconds
Request model_5#25 arrives at 186275.502564457, sleeping for 0.04884341248543933 seconds
Request model_2#99 arrives at 186275.551791594, sleeping for 0.49202666943892837 seconds
Request model_3#18 arrives at 186276.044579164, sleeping for 0.03944653534563258 seconds
Request model_2#100 arrives at 186276.084461111, sleeping for 0.04924901670892723 seconds
Request model_2#101 arrives at 186276.134080283, sleeping for 0.08791174335055985 seconds
Request model_2#102 arrives at 186276.222761686, sleeping for 0.11194003961281851 seconds
Request model_2#103 arrives at 186276.335801842, sleeping for 0.2752859508036636 seconds
Request model_3#19 arrives at 186276.611674497, sleeping for 0.14857114769984037 seconds
Request model_2#104 arrives at 186276.760671182, sleeping for 0.009864802472293377 seconds
Request model_5#26 arrives at 186276.77133493, sleeping for 0.005788020527688786 seconds
Request model_2#105 arrives at 186276.77796486, sleeping for 0.20919594139559194 seconds
Request model_6#10 arrives at 186276.98785795, sleeping for 0.08876046456862241 seconds
Request model_2#106 arrives at 186277.077614873, sleeping for 0.040393830538960174 seconds
Request model_2#107 arrives at 186277.11824884, sleeping for 0.02136356642586179 seconds
Request model_6#11 arrives at 186277.139859251, sleeping for 0.0010660832922440022 seconds
Request model_2#108 arrives at 186277.141601833, sleeping for 0.045033961068838835 seconds
Request model_2#109 arrives at 186277.18746512, sleeping for 0.18672196567058563 seconds
Request model_2#110 arrives at 186277.374791751, sleeping for 0.047736450185766444 seconds
Request model_6#12 arrives at 186277.423498607, sleeping for 0.053566925023915246 seconds
Request model_5#27 arrives at 186277.477436125, sleeping for 0.0031953970610629767 seconds
Request model_2#111 arrives at 186277.481085884, sleeping for 0.20120979781495407 seconds
Request model_2#112 arrives at 186277.682563432, sleeping for 0.023851843405282125 seconds
Request model_2#113 arrives at 186277.706634212, sleeping for 0.14963179660844617 seconds
Request model_2#114 arrives at 186277.857232548, sleeping for 0.09363843282335438 seconds
Request model_2#115 arrives at 186277.951947789, sleeping for 0.1777309702592902 seconds
Request model_2#116 arrives at 186278.130733297, sleeping for 0.19826146916602738 seconds
Request model_2#117 arrives at 186278.329909059, sleeping for 0.0792613546946086 seconds
Request model_2#118 arrives at 186278.409588908, sleeping for 0.11152896037674509 seconds
Request model_2#119 arrives at 186278.52125347, sleeping for 0.1768670934252441 seconds
Request model_2#120 arrives at 186278.698818562, sleeping for 0.0021950717782601714 seconds
Request model_2#121 arrives at 186278.701676907, sleeping for 0.03693952364847064 seconds
Request model_6#13 arrives at 186278.740101279, sleeping for 0.2974695852899458 seconds
Request model_3#20 arrives at 186279.037975919, sleeping for 0.10278917886898853 seconds
Request model_2#122 arrives at 186279.142816152, sleeping for 0.10871258442057297 seconds
Request model_2#123 arrives at 186279.253599034, sleeping for 0.2752504677628167 seconds
Request model_2#124 arrives at 186279.529752188, sleeping for 0.03945280431071296 seconds
Request model_2#125 arrives at 186279.569480471, sleeping for 0.16006081941304728 seconds
Request model_2#126 arrives at 186279.730526356, sleeping for 0.19623564774519764 seconds
Request model_2#127 arrives at 186279.927545, sleeping for 0.0032134709472302347 seconds
Request model_5#28 arrives at 186279.931736961, sleeping for 0.06945424276636913 seconds
Request model_2#128 arrives at 186280.001592473, sleeping for 0.13892076190677471 seconds
Request model_2#129 arrives at 186280.141071839, sleeping for 0.20877799598383717 seconds
Request model_2#130 arrives at 186280.350501993, sleeping for 0.04216841887682676 seconds
Request model_2#131 arrives at 186280.393189979, sleeping for 0.45642742203199305 seconds
Request model_6#14 arrives at 186280.850608576, sleeping for 0.0018792282789945602 seconds
Request model_3#21 arrives at 186280.852756628, sleeping for 0.013589708571089432 seconds
Request model_2#132 arrives at 186280.867421756, sleeping for 0.037004462617915124 seconds
Request model_6#15 arrives at 186280.905564206, sleeping for 0.05246163049014285 seconds
Request model_2#133 arrives at 186280.959276628, sleeping for 0.02652186425984837 seconds
Request model_2#134 arrives at 186280.986922789, sleeping for 0.23400681800558232 seconds
Request model_2#135 arrives at 186281.221996071, sleeping for 0.15482817907468416 seconds
Request model_2#136 arrives at 186281.377081084, sleeping for 0.1528828743903432 seconds
Request model_2#137 arrives at 186281.530228604, sleeping for 0.2700504119566176 seconds
Request model_5#29 arrives at 186281.80051026, sleeping for 0.09170575285679661 seconds
Request model_2#138 arrives at 186281.892534235, sleeping for 0.08807176299160346 seconds
Request model_2#139 arrives at 186281.981169503, sleeping for 0.2639997916703578 seconds
Request model_2#140 arrives at 186282.246226339, sleeping for 0.06424216530285776 seconds
Request model_2#141 arrives at 186282.310995205, sleeping for 0.12694184022257105 seconds
Request model_5#30 arrives at 186282.438911499, sleeping for 0.1564412176667247 seconds
Request model_2#142 arrives at 186282.595989657, sleeping for 0.025135493953712285 seconds
Request model_5#31 arrives at 186282.621622937, sleeping for 0.04607301874784753 seconds
Request model_3#22 arrives at 186282.668193312, sleeping for 0.06546581594739109 seconds
Request model_2#143 arrives at 186282.734548681, sleeping for 0.0598867938388139 seconds
Request model_2#144 arrives at 186282.795222074, sleeping for 0.011399098439142108 seconds
Request model_2#145 arrives at 186282.807669191, sleeping for 0.17990000059944578 seconds
Request model_6#16 arrives at 186282.988383826, sleeping for 0.24098976908135228 seconds
Request model_3#23 arrives at 186283.23022365, sleeping for 0.04249024234013632 seconds
Request model_2#146 arrives at 186283.27293571, sleeping for 0.07898250679136254 seconds
Request model_2#147 arrives at 186283.352859069, sleeping for 0.3053819974011276 seconds
Request model_3#24 arrives at 186283.659208751, sleeping for 0.03405197951360606 seconds
Request model_6#17 arrives at 186283.693898627, sleeping for 0.05281301063951105 seconds
Request model_2#148 arrives at 186283.747558191, sleeping for 0.017449997103540227 seconds
Request model_2#149 arrives at 186283.765245006, sleeping for 0.027054457779740915 seconds
Request model_2#150 arrives at 186283.792839792, sleeping for 0.1943948711559642 seconds
Request model_2#151 arrives at 186283.987509122, sleeping for 0.06176790370955132 seconds
Request model_2#152 arrives at 186284.04951583, sleeping for 0.10216358402976766 seconds
Request model_2#153 arrives at 186284.152182996, sleeping for 0.012456229800591245 seconds
Request model_5#32 arrives at 186284.165618259, sleeping for 0.049772415426559746 seconds
Request model_2#154 arrives at 186284.215925103, sleeping for 0.012933324178447947 seconds
Request model_2#155 arrives at 186284.229360928, sleeping for 0.14812497692764737 seconds
Request model_2#156 arrives at 186284.377915846, sleeping for 0.0056554356997366995 seconds
Request model_2#157 arrives at 186284.384274594, sleeping for 0.02931413913029246 seconds
Request model_2#158 arrives at 186284.41379987, sleeping for 0.07455628851312213 seconds
Request model_2#159 arrives at 186284.489385157, sleeping for 0.21873590219183825 seconds
Request model_2#160 arrives at 186284.709166111, sleeping for 0.06203806772828102 seconds
Request model_5#33 arrives at 186284.771769824, sleeping for 0.4579880266392138 seconds
Request model_2#161 arrives at 186285.230639215, sleeping for 0.0035438841150607914 seconds
Request model_5#34 arrives at 186285.23474676, sleeping for 0.06404778998694383 seconds
Request model_2#162 arrives at 186285.299599642, sleeping for 0.1892527198069729 seconds
Request model_2#163 arrives at 186285.489850802, sleeping for 0.0443154652020894 seconds
Request model_2#164 arrives at 186285.535165695, sleeping for 0.17347952982527204 seconds
Request model_2#165 arrives at 186285.709748331, sleeping for 0.5527586969546974 seconds
Request model_2#166 arrives at 186286.263463856, sleeping for 0.0002082541468553245 seconds
Request model_2#167 arrives at 186286.264323415, sleeping for 0.07421282734139822 seconds
Request model_2#168 arrives at 186286.339259351, sleeping for 0.09538954545860179 seconds
Request model_6#18 arrives at 186286.435310222, sleeping for 0.2161230763013009 seconds
Request model_2#169 arrives at 186286.65241638, sleeping for 0.1708991386985872 seconds
Request model_2#170 arrives at 186286.824052268, sleeping for 0.00884503364795819 seconds
Request model_2#171 arrives at 186286.835073187, sleeping for 0.0105860763869714 seconds
Request model_3#25 arrives at 186286.846018296, sleeping for 0.19871461350703612 seconds
Request model_2#172 arrives at 186287.04537853, sleeping for 0.27269657005672343 seconds
