Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.6s
Starting TP benchmark: paper-faithful-v4_bursty_rate8_seed1
Generated 3387 requests
Request model_5#0 arrives at 183815.657228672, sleeping for 0.19896388426423073 seconds
Request model_2#0 arrives at 183815.856509276, sleeping for 0.1781760509184096 seconds
Request model_2#1 arrives at 183816.035772046, sleeping for 0.035055958142038435 seconds
Request model_2#2 arrives at 183816.071650041, sleeping for 0.08860250120051205 seconds
Request model_5#1 arrives at 183816.161246938, sleeping for 0.0825832226255443 seconds
Request model_2#3 arrives at 183816.244839105, sleeping for 0.1321749463386368 seconds
Request model_2#4 arrives at 183816.377563598, sleeping for 0.09853065409697592 seconds
Request model_5#2 arrives at 183816.476770062, sleeping for 0.06666962665622123 seconds
Request model_2#5 arrives at 183816.543965105, sleeping for 0.03248159112990834 seconds
Request model_2#6 arrives at 183816.577114542, sleeping for 0.2527380680839997 seconds
Request model_2#7 arrives at 183816.830415584, sleeping for 0.3893370993901044 seconds
Request model_5#3 arrives at 183817.220796537, sleeping for 0.14847880459274165 seconds
Request model_2#8 arrives at 183817.369825274, sleeping for 0.13564046629471704 seconds
Request model_3#0 arrives at 183817.506152101, sleeping for 0.7011780188477132 seconds
Request model_5#4 arrives at 183818.209510849, sleeping for 0.04453401328646578 seconds
Request model_3#1 arrives at 183818.254707474, sleeping for 0.01181868655839935 seconds
Request model_3#2 arrives at 183818.267252142, sleeping for 0.044952773343538865 seconds
Request model_2#9 arrives at 183818.312783566, sleeping for 0.2060700427100528 seconds
Request model_5#5 arrives at 183818.520483675, sleeping for 0.13801114712259732 seconds
Request model_2#10 arrives at 183818.659400133, sleeping for 0.11921482006437145 seconds
Request model_2#11 arrives at 183818.780252954, sleeping for 0.06351055251434445 seconds
Request model_2#12 arrives at 183818.844848497, sleeping for 0.04661674707313068 seconds
Request model_2#13 arrives at 183818.892403624, sleeping for 0.1617387020669412 seconds
Request model_2#14 arrives at 183819.056251106, sleeping for 0.04183688075863756 seconds
Request model_2#15 arrives at 183819.09842591, sleeping for 0.06216415509697981 seconds
