1787218205.046329794 0, 35432, 9;1, 35446, 1;
1787218207.285140891 0, 35864, 0;1, 35902, 0;
1787218209.457232368 0, 35906, 93;1, 35918, 48;
1787218211.653331769 0, 35906, 92;1, 36028, 97;
1787218213.851010521 0, 50530, 40;1, 36160, 100;
1787218216.023262173 0, 52450, 99;1, 34568, 98;
1787218218.194511159 0, 52562, 99;1, 34704, 98;
1787218220.388407983 0, 52562, 99;1, 34830, 98;
1787218222.576436461 0, 52562, 99;1, 34830, 98;
1787218224.771075507 0, 52562, 99;1, 34832, 97;
1787218226.927477405 0, 52562, 99;1, 34944, 98;
1787218229.129438446 0, 52914, 99;1, 34944, 97;
1787218231.321277480 0, 52914, 99;1, 34944, 98;
1787218233.529216429 0, 53132, 100;1, 34944, 97;
1787218235.707781637 0, 53132, 99;1, 34944, 97;
1787218237.884932317 0, 53132, 99;1, 34944, 97;
1787218240.061285431 0, 53132, 99;1, 34944, 98;
1787218242.251865374 0, 53132, 99;1, 34994, 98;
1787218244.423174467 0, 51768, 100;1, 38720, 97;
1787218246.616853753 0, 51768, 100;1, 38874, 99;
1787218248.790449735 0, 51906, 100;1, 38876, 99;
1787218250.980109754 0, 52450, 100;1, 38876, 99;
1787218253.153146771 0, 52722, 100;1, 38878, 50;
1787218255.349246293 0, 52722, 100;1, 38878, 87;
1787218257.521577303 0, 53234, 100;1, 38942, 98;
1787218259.726122788 0, 53362, 99;1, 38942, 99;
1787218261.918568198 0, 53618, 98;1, 38942, 98;
1787218264.120369376 0, 54258, 99;1, 38942, 98;
1787218266.299090696 0, 54260, 99;1, 38986, 97;
1787218268.452762916 0, 54260, 99;1, 38986, 50;
1787218270.654109671 0, 54356, 99;1, 38986, 50;
1787218272.858058390 0, 55734, 99;1, 53610, 58;
1787218275.081860827 0, 55324, 99;1, 54170, 50;
1787218277.277892198 0, 55452, 97;1, 54232, 46;
1787218279.475498732 0, 38878, 76;1, 54346, 63;
1787218281.703322106 0, 38878, 97;1, 54346, 99;
1787218283.855502483 0, 38878, 100;1, 54346, 100;
1787218286.026774398 0, 38878, 99;1, 54346, 100;
1787218288.203010587 0, 38878, 99;1, 54346, 59;
1787218290.393120391 0, 38878, 98;1, 54346, 50;
1787218292.571225045 0, 38878, 98;1, 54346, 63;
1787218294.746002584 0, 38436, 99;1, 53674, 52;
1787218296.929055611 0, 38436, 99;1, 24424, 5;
1787218299.125694312 0, 38180, 100;1, 24424, 98;
1787218301.297411197 0, 38180, 98;1, 24424, 98;
1787218303.477836853 0, 38052, 99;1, 24424, 99;
1787218305.673042040 0, 38052, 99;1, 31012, 99;
1787218307.846941822 0, 35874, 94;1, 33074, 99;
1787218310.039062422 0, 35874, 93;1, 33074, 99;
1787218312.238814830 0, 35490, 92;1, 33074, 99;
1787218314.401797115 0, 35106, 50;1, 33204, 100;
1787218316.566171554 0, 35106, 95;1, 33204, 100;
1787218318.727695800 0, 34722, 94;1, 33204, 100;
1787218320.885247988 0, 34594, 94;1, 33286, 100;
1787218323.088301721 0, 34466, 92;1, 33622, 100;
1787218325.277024032 0, 48834, 95;1, 34386, 100;
1787218327.438877626 0, 50260, 92;1, 34072, 92;
1787218329.603001028 0, 50260, 92;1, 34072, 73;
1787218331.774567320 0, 50260, 100;1, 34520, 71;
1787218333.955520476 0, 50260, 99;1, 34520, 79;
1787218336.119619924 0, 57236, 99;1, 34520, 78;
1787218338.306509531 0, 58612, 100;1, 34520, 70;
1787218340.491335641 0, 58612, 99;1, 34520, 70;
1787218342.654532117 0, 58612, 99;1, 25310, 76;
1787218344.850271445 0, 58868, 100;1, 25422, 76;
1787218347.015832634 0, 58868, 99;1, 25646, 71;
1787218349.179099048 0, 58980, 99;1, 25646, 73;
1787218351.359136708 0, 58980, 99;1, 25646, 70;
1787218353.563059894 0, 58980, 99;1, 25646, 70;
1787218355.740103544 0, 58980, 77;1, 25646, 46;
1787218357.986697740 0, 59108, 100;1, 23536, 80;
1787218360.169990199 0, 59108, 99;1, 23536, 73;
1787218362.385644406 0, 59108, 99;1, 23536, 71;
1787218364.566259141 0, 59108, 99;1, 23536, 67;
1787218366.756416850 0, 59108, 99;1, 23536, 62;
1787218369.294878716 0, 56814, 0;1, 19296, 3;
1787218372.389567217 0, 53615, 0;1, 16129, 0;
1787218377.077838476 0, 53451, 1;1, 16129, 0;
1787218379.583061280 0, 34116, 100;1, 10979, 36;
1787218382.499592545 0, 4773, 0;1, 6, 0;
1787218384.560676761 0, 4773, 0;1, 6, 0;
1787218386.629328235 0, 4773, 0;1, 6, 0;
1787218388.700506614 0, 4773, 0;1, 6, 0;
1787218390.767446251 0, 4773, 0;1, 6, 0;
1787218392.828077236 0, 4766, 0;1, 4, 0;
1787218394.957868525 0, 0, 0;1, 0, 0;
1787218397.037906954 0, 0, 0;1, 0, 0;
1787218399.122145922 0, 0, 0;1, 0, 0;
1787218401.190044922 0, 0, 0;1, 0, 0;
1787218403.291179456 0, 0, 0;1, 0, 0;
1787218405.355530693 0, 0, 0;1, 0, 0;
1787218407.434715069 0, 0, 0;1, 0, 0;
1787218409.502562944 0, 0, 0;1, 0, 0;
1787218411.566621858 0, 0, 0;1, 0, 0;
1787218413.630878428 0, 0, 0;1, 0, 0;
1787218415.691326392 0, 0, 0;1, 0, 0;
1787218417.754873379 0, 0, 0;1, 0, 0;
1787218419.815144254 0, 0, 0;1, 0, 0;
1787218421.874463679 0, 0, 0;1, 0, 0;
1787218423.939733132 0, 0, 0;1, 0, 0;
1787218426.037161897 0, 0, 0;1, 0, 0;
1787218428.104319171 0, 0, 0;1, 0, 0;
1787218430.167679821 0, 0, 0;1, 0, 0;
1787218432.227030743 0, 0, 0;1, 0, 0;
1787218434.290634393 0, 0, 0;1, 0, 0;
1787218436.351562923 0, 0, 0;1, 0, 0;
1787218438.452872125 0, 0, 0;1, 0, 0;
1787218440.515112311 0, 0, 0;1, 0, 0;
1787218442.574908675 0, 0, 0;1, 0, 0;
1787218444.635766842 0, 0, 0;1, 0, 0;
1787218446.705068811 0, 0, 0;1, 0, 0;
1787218448.767218899 0, 0, 0;1, 0, 0;
1787218450.827864063 0, 0, 0;1, 0, 0;
1787218452.897534513 0, 0, 0;1, 0, 0;
1787218454.986698365 0, 0, 0;1, 0, 0;
1787218457.047325585 0, 0, 0;1, 0, 0;
1787218459.124782459 0, 0, 0;1, 0, 0;
1787218461.194096087 0, 0, 0;1, 0, 0;
1787218463.255294864 0, 0, 0;1, 0, 0;
1787218465.315579108 0, 0, 0;1, 0, 0;
1787218467.378911591 0, 0, 0;1, 0, 0;
1787218469.461265042 0, 0, 0;1, 0, 0;
1787218471.522832600 0, 0, 0;1, 0, 0;
1787218473.608579638 0, 0, 0;1, 0, 0;
1787218475.671449925 0, 0, 0;1, 0, 0;
1787218477.772499281 0, 0, 0;1, 0, 0;
1787218479.834369568 0, 0, 0;1, 0, 0;
1787218481.921365325 0, 0, 0;1, 0, 0;
1787218484.008831743 0, 0, 0;1, 0, 0;
1787218486.070500656 0, 0, 0;1, 0, 0;
1787218488.135399064 0, 0, 0;1, 0, 0;
1787218490.233785732 0, 0, 0;1, 0, 0;
1787218492.300901912 0, 0, 0;1, 0, 0;
1787218494.366854559 0, 0, 0;1, 0, 0;
1787218496.428740763 0, 0, 0;1, 0, 0;
1787218498.535384075 0, 0, 0;1, 0, 0;
1787218500.598829583 0, 0, 0;1, 0, 0;
1787218502.664525364 0, 0, 0;1, 0, 0;
1787218504.751661448 0, 0, 0;1, 0, 0;
1787218506.812156558 0, 0, 0;1, 0, 0;
1787218508.914144576 0, 0, 0;1, 0, 0;
1787218511.002350368 0, 0, 0;1, 0, 0;
1787218513.102510695 0, 0, 0;1, 0, 0;
1787218515.163256999 0, 0, 0;1, 0, 0;
1787218517.261025190 0, 0, 0;1, 0, 0;
1787218519.323375830 0, 0, 0;1, 0, 0;
1787218521.383353972 0, 0, 0;1, 0, 0;
1787218523.442882010 0, 0, 0;1, 0, 0;
1787218525.514615007 0, 0, 0;1, 0, 0;
1787218527.599081008 0, 0, 0;1, 0, 0;
1787218529.658743786 0, 0, 0;1, 0, 0;
1787218531.719630145 0, 0, 0;1, 0, 0;
1787218533.783141552 0, 0, 0;1, 0, 0;
1787218535.846872915 0, 0, 0;1, 0, 0;
1787218537.929175633 0, 0, 0;1, 0, 0;
1787218539.999884504 0, 0, 0;1, 0, 0;
1787218542.060817980 0, 0, 0;1, 0, 0;
1787218544.128103928 0, 0, 0;1, 0, 0;
1787218546.218922810 0, 0, 0;1, 0, 0;
1787218548.282827963 0, 0, 0;1, 0, 0;
1787218550.346107939 0, 0, 0;1, 0, 0;
1787218552.432194626 0, 0, 0;1, 0, 0;
1787218554.544292132 0, 0, 0;1, 0, 0;
1787218556.609361628 0, 0, 0;1, 0, 0;
1787218558.704470545 0, 0, 0;1, 0, 0;
1787218560.774522799 0, 0, 0;1, 0, 0;
1787218562.837140168 0, 0, 0;1, 0, 0;
1787218564.906714927 0, 0, 0;1, 0, 0;
1787218566.970023004 0, 0, 0;1, 0, 0;
1787218569.033377125 0, 0, 0;1, 0, 0;
1787218571.123488877 0, 0, 0;1, 0, 0;
1787218573.188767698 0, 0, 0;1, 0, 0;
1787218575.254330776 0, 0, 0;1, 0, 0;
1787218577.359989106 0, 0, 0;1, 0, 0;
1787218579.425082775 0, 0, 0;1, 0, 0;
1787218581.489947239 0, 0, 0;1, 0, 0;
1787218583.571070030 0, 0, 0;1, 0, 0;
1787218585.680302552 0, 0, 0;1, 0, 0;
1787218587.789856298 0, 0, 0;1, 0, 0;
1787218589.855474907 0, 0, 0;1, 0, 0;
1787218591.924865522 0, 0, 0;1, 0, 0;
1787218594.009954550 0, 0, 0;1, 0, 0;
1787218596.092094451 0, 0, 0;1, 0, 0;
1787218598.162303170 0, 0, 0;1, 0, 0;
1787218600.224935102 0, 0, 0;1, 0, 0;
1787218602.289696184 0, 0, 0;1, 0, 0;
1787218604.376420996 0, 0, 0;1, 0, 0;
1787218606.445581405 0, 0, 0;1, 0, 0;
1787218608.511535763 0, 0, 0;1, 0, 0;
1787218610.574012296 0, 0, 0;1, 0, 0;
1787218612.640282568 0, 0, 0;1, 0, 0;
1787218614.710243317 0, 0, 0;1, 0, 0;
1787218616.778854559 0, 0, 0;1, 0, 0;
1787218618.845138856 0, 0, 0;1, 0, 0;
1787218620.928033832 0, 0, 0;1, 0, 0;
1787218622.994317417 0, 0, 0;1, 0, 0;
1787218625.075781565 0, 0, 0;1, 0, 0;
1787218627.136973371 0, 0, 0;1, 0, 0;
