timestamp,gpu_id,gpu_utilization,memory_used_mib
1787211728.2254086,0,0,35432
1787211728.2254086,1,0,35446
1787211730.4144533,0,0,35864
1787211730.4144533,1,0,35924
1787211732.580624,0,98,36020
1787211732.580624,1,63,36150
1787211734.7745755,0,98,36120
1787211734.7745755,1,64,36152
1787211736.95776,0,98,36158
1787211736.95776,1,0,44504
1787211739.140951,0,99,36158
1787211739.140951,1,98,44712
1787211741.3253675,0,99,36222
1787211741.3253675,1,98,44776
1787211743.5165608,0,56,34304
1787211743.5165608,1,96,44888
1787211745.6818051,0,7,34304
1787211745.6818051,1,19,45000
1787211748.50819,0,53,34304
1787211748.50819,1,98,45144
1787211750.696804,0,53,34304
1787211750.696804,1,92,45946
1787211752.8841574,0,52,34304
1787211752.8841574,1,96,45946
1787211755.0276558,0,49,34304
1787211755.0276558,1,98,46022
1787211757.1941402,0,52,34304
1787211757.1941402,1,98,46022
1787211759.3567216,0,46,34374
1787211759.3567216,1,98,46022
1787211761.5463583,0,28,34374
1787211761.5463583,1,82,46022
1787211763.869371,0,50,34374
1787211763.869371,1,98,45910
1787211766.0193062,0,49,34374
1787211766.0193062,1,97,45992
1787211768.185578,0,99,48998
1787211768.185578,1,99,45992
1787211770.3809044,0,53,50602
1787211770.3809044,1,98,44256
1787211772.5731926,0,51,50602
1787211772.5731926,1,98,44256
1787211774.7650805,0,48,50602
1787211774.7650805,1,79,44256
1787211777.1972628,0,33,50602
1787211777.1972628,1,54,44256
1787211779.3969646,0,49,50602
1787211779.3969646,1,98,44032
1787211781.568554,0,49,50602
1787211781.568554,1,98,44032
1787211783.736444,0,100,32616
1787211783.736444,1,98,42276
1787211785.9188511,0,52,32680
1787211785.9188511,1,98,42278
1787211788.086614,0,33,32680
1787211788.086614,1,93,42278
1787211790.25974,0,50,32680
1787211790.25974,1,98,42278
1787211792.4272122,0,50,32680
1787211792.4272122,1,98,42278
1787211794.5916219,0,50,32680
1787211794.5916219,1,98,42278
1787211796.7400248,0,0,32680
1787211796.7400248,1,98,42278
1787211798.9213874,0,51,32680
1787211798.9213874,1,98,42278
1787211801.0895286,0,50,32680
1787211801.0895286,1,98,42278
1787211803.2734601,0,49,32680
1787211803.2734601,1,97,42278
1787211805.4592683,0,49,32680
1787211805.4592683,1,98,42278
1787211807.6033804,0,49,32680
1787211807.6033804,1,98,42278
1787211809.7661734,0,49,32680
1787211809.7661734,1,99,42278
1787211811.9525838,0,50,32680
1787211811.9525838,1,97,42390
1787211814.099081,0,37,32680
1787211814.099081,1,86,42390
1787211816.392944,0,53,32680
1787211816.392944,1,98,42390
1787211818.544684,0,50,32680
1787211818.544684,1,99,42390
1787211820.730052,0,0,32680
1787211820.730052,1,98,42390
1787211822.8929577,0,0,39268
1787211822.8929577,1,69,42710
1787211825.0819054,0,19,74022
1787211825.0819054,1,64,42390
1787211827.2335975,0,89,76654
1787211827.2335975,1,66,41628
1787211829.4132164,0,100,76984
1787211829.4132164,1,93,24298
1787211831.6052978,0,99,76984
1787211831.6052978,1,97,24298
1787211833.7759547,0,100,76984
1787211833.7759547,1,98,24298
1787211835.965556,0,99,76984
1787211835.965556,1,65,24298
1787211838.1149786,0,100,76984
