timestamp,gpu_id,gpu_utilization,memory_used_mib
1787212987.941707,0,3,35862
1787212987.941707,1,25,35902
1787212990.0871828,0,5,35864
1787212990.0871828,1,12,35902
1787212992.6234035,0,100,35906
1787212992.6234035,1,98,35936
1787212994.8089755,0,99,35994
1787212994.8089755,1,100,35976
1787212996.9979649,0,100,41466
1787212996.9979649,1,100,36454
1787212999.2066076,0,100,41558
1787212999.2066076,1,89,34698
1787213001.3699558,0,100,41930
1787213001.3699558,1,99,34700
1787213003.5103457,0,100,42278
1787213003.5103457,1,100,34700
1787213005.6553283,0,100,42534
1787213005.6553283,1,99,34828
1787213007.798328,0,100,43010
1787213007.798328,1,100,34940
1787213009.9769428,0,99,43010
1787213009.9769428,1,99,35362
1787213012.1435184,0,100,43156
1787213012.1435184,1,99,35362
1787213014.3326707,0,92,43316
1787213014.3326707,1,69,35698
1787213017.2042866,0,100,43336
1787213017.2042866,1,99,35890
1787213019.3760161,0,100,43492
1787213019.3760161,1,99,35892
1787213021.5604737,0,100,43620
1787213021.5604737,1,100,35892
1787213023.726166,0,100,43620
1787213023.726166,1,100,35892
1787213025.869559,0,99,43620
1787213025.869559,1,100,42368
1787213028.0328996,0,100,43822
1787213028.0328996,1,100,44306
1787213030.2043014,0,100,43822
1787213030.2043014,1,100,44622
1787213032.3843534,0,71,43822
1787213032.3843534,1,37,44624
1787213034.8497756,0,100,43822
1787213034.8497756,1,97,44624
1787213037.0208437,0,81,43822
1787213037.0208437,1,69,44624
1787213039.3406568,0,100,42958
1787213039.3406568,1,100,44624
1787213041.4869595,0,100,41796
1787213041.4869595,1,100,44624
1787213043.6749241,0,99,41896
1787213043.6749241,1,100,44624
1787213045.8218796,0,100,41896
1787213045.8218796,1,100,44624
1787213047.988075,0,99,41896
1787213047.988075,1,100,44624
1787213050.171751,0,100,41896
1787213050.171751,1,100,44624
1787213052.3172486,0,100,41896
1787213052.3172486,1,100,44736
1787213054.58854,0,99,41896
1787213054.58854,1,100,44738
1787213056.7755206,0,100,41896
1787213056.7755206,1,100,44738
1787213058.9177227,0,100,42062
1787213058.9177227,1,100,44782
1787213061.0784748,0,99,50336
1787213061.0784748,1,100,44782
1787213063.2266858,0,92,50520
1787213063.2266858,1,79,44782
1787213065.3903046,0,100,50628
1787213065.3903046,1,100,44782
1787213067.5387762,0,100,50628
1787213067.5387762,1,100,44782
1787213069.6873233,0,100,50628
1787213069.6873233,1,100,44782
1787213071.8675895,0,100,50628
1787213071.8675895,1,100,36176
1787213074.0523803,0,100,50628
1787213074.0523803,1,99,36176
1787213076.2007782,0,100,50628
1787213076.2007782,1,99,35728
1787213078.3910155,0,100,50628
1787213078.3910155,1,99,35728
1787213080.5791254,0,100,50772
1787213080.5791254,1,99,35728
1787213082.724699,0,100,50772
1787213082.724699,1,99,35728
1787213084.9117916,0,100,50772
1787213084.9117916,1,99,35728
1787213087.1008227,0,100,50772
1787213087.1008227,1,99,35728
1787213089.244569,0,81,50772
1787213089.244569,1,56,35728
1787213091.4278443,0,96,50772
1787213091.4278443,1,85,42316
1787213093.7119646,0,100,50900
1787213093.7119646,1,99,44080
1787213095.8778768,0,100,51156
1787213095.8778768,1,100,44294
1787213098.0432935,0,100,51156
1787213098.0432935,1,99,44518
1787213100.2101424,0,100,35966
1787213100.2101424,1,100,44518
1787213102.3540092,0,100,35966
1787213102.3540092,1,100,44518
1787213104.54197,0,98,35968
1787213104.54197,1,100,44518
1787213106.7025304,0,99,35968
1787213106.7025304,1,100,44630
1787213108.8896878,0,99,35968
1787213108.8896878,1,100,44630
1787213111.0791311,0,99,35968
1787213111.0791311,1,100,44630
1787213113.2432387,0,100,35840
1787213113.2432387,1,100,44630
1787213115.3901548,0,99,35840
1787213115.3901548,1,100,44684
1787213117.534245,0,100,35840
1787213117.534245,1,99,44572
1787213119.6950288,0,100,35840
1787213119.6950288,1,100,44574
1787213121.83746,0,100,35840
1787213121.83746,1,99,44574
1787213124.000788,0,99,35892
1787213124.000788,1,100,44574
1787213126.190702,0,99,35636
1787213126.190702,1,94,44574
1787213128.3344586,0,100,35636
1787213128.3344586,1,100,44574
1787213130.4757576,0,100,35636
1787213130.4757576,1,100,47426
1787213132.670837,0,100,35636
1787213132.670837,1,100,48288
1787213134.8329086,0,99,33962
1787213134.8329086,1,100,48392
1787213137.0156786,0,99,33706
1787213137.0156786,1,100,48392
1787213139.200177,0,99,33706
1787213139.200177,1,100,48392
1787213141.3602428,0,99,33706
1787213141.3602428,1,100,48392
1787213143.5281234,0,99,33706
1787213143.5281234,1,100,48504
1787213145.6741476,0,99,33706
1787213145.6741476,1,100,48822
1787213147.8439069,0,99,33578
1787213147.8439069,1,97,48886
1787213150.030834,0,99,33578
1787213150.030834,1,100,49142
1787213152.1906173,0,89,33578
1787213152.1906173,1,100,49142
1787213154.386573,0,99,33578
1787213154.386573,1,100,49166
1787213156.5694323,0,99,33578
1787213156.5694323,1,99,49166
1787213158.7137403,0,93,33578
1787213158.7137403,1,100,49166
1787213160.8628633,0,99,40146
1787213160.8628633,1,100,49466
1787213163.0317736,0,99,41910
1787213163.0317736,1,100,49166
1787213165.1967533,0,100,42076
1787213165.1967533,1,100,49166
1787213167.3484397,0,100,42092
1787213167.3484397,1,100,49166
1787213169.490994,0,86,42122
1787213169.490994,1,100,49166
1787213171.7064185,0,100,42122
1787213171.7064185,1,100,40400
1787213173.8760068,0,100,42122
1787213173.8760068,1,100,40288
1787213176.040208,0,100,42122
1787213176.040208,1,100,40216
1787213178.232563,0,100,42122
1787213178.232563,1,100,40104
1787213180.480321,0,99,42122
1787213180.480321,1,100,40188
1787213182.631245,0,99,42352
1787213182.631245,1,100,40188
1787213184.7925599,0,100,42480
1787213184.7925599,1,99,40300
1787213186.9609044,0,100,42608
1787213186.9609044,1,100,40412
1787213189.1442392,0,95,42610
1787213189.1442392,1,100,40412
1787213191.3333035,0,99,42610
1787213191.3333035,1,100,40412
