migration_id,model,model_path,source_gpu,target_gpu,migration_start,target_ready_time,migration_end,migration_latency_s,service_downtime_s,migration_total_s,ordering,readiness_barrier,latency_is_submission_only,weight_bytes,kv_bytes,total_bytes,transfer_path,effective_gbps,success,peak_kvpr_before,peak_kvpr_after,tau,alg1_cycle
0,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787211735.5581632,1787211736.9900122,1787211742.3739617,1.4318490028381348,0.0,6.81579852104187,target-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,11.854776769495484,True,0.02516662958660377,0.0236887325328967,0.00035,2
1,model_6,Qwen/Qwen2.5-7B-Instruct,1,0,1787211767.4361315,1787211769.5251179,1787211770.2127821,2.088986396789551,0.0,2.7766506671905518,target-first,1,0,15231233024,0,15231233024,gpu-to-gpu-p2p,11.922769232080675,True,0.07668664569107544,0.05968024520166948,0.00035,8
2,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787211822.6607811,1787211823.6284878,1787211827.767192,0.9677066802978516,0.0,5.10641074180603,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.62916735828741,True,0.04796057773591539,0.03607004427901241,0.00035,19
3,model_5,meta-llama/Llama-3.1-8B,0,1,1787211852.9370697,1787211855.1195543,1787211855.6446006,2.1824846267700195,0.0,2.707530975341797,target-first,1,0,16060522496,0,16060522496,gpu-to-gpu-p2p,12.520951843869014,True,0.13684522591949375,0.09792977954043129,0.00035,25
4,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787211868.0200071,1787211914.376604,1787211914.376604,46.35659694671631,46.35659694671631,46.35659694671631,source-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,11.854776769495484,True,,,,
5,model_3,meta-llama/Llama-3.2-3B,1,0,1787211883.113103,1787211884.4868426,1787211892.2206578,1.3737397193908691,0.0,9.107554912567139,target-first,1,0,7213504512,0,7213504512,gpu-to-gpu-p2p,12.090918622576199,True,0.13418558543609557,0.08307461233976306,0.00035,31
6,model_1,meta-llama/Llama-3.2-1B,1,0,1787211917.4304376,1787211918.3286395,1787211924.8835418,0.8982019424438477,0.0,7.453104257583618,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,12.531765909493394,True,0.08204190634281677,0.06167911358567408,0.00035,37
7,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787211965.2877045,1787211966.6463308,1787211974.507807,1.358626365661621,0.0,9.220102548599243,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.62916735828741,True,0.05831006593610646,0.03389747981129259,0.00035,46
8,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787212030.1684515,1787212031.0700808,1787212031.5855496,0.9016292095184326,0.0,1.417098045349121,target-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,11.854776769495484,True,0.07595296143742751,0.0627288843438491,0.00035,58
9,model_6,Qwen/Qwen2.5-7B-Instruct,0,1,1787212060.5432084,1787212062.5270133,1787212072.5687773,1.9838049411773682,0.0,12.025568962097168,target-first,1,0,15231233024,0,15231233024,host-to-device + helper-gpu-p2p,7.890468282834965,True,0.07371639547727904,0.049396958279945606,0.00035,64
10,model_6,Qwen/Qwen2.5-7B-Instruct,1,0,1787212092.8695362,1787212094.1060476,1787212105.54804,1.236511468887329,0.0,12.67850375175476,target-first,1,0,15231233024,0,15231233024,gpu-to-gpu-p2p,11.922769232080675,True,0.11225929198239067,0.07594310442446667,0.00035,69
11,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787212125.9082549,1787212126.9714365,1787212130.3269055,1.0631816387176514,0.0,4.4186506271362305,target-first,1,0,3554176000,0,3554176000,gpu-to-gpu-p2p,10.442717291007877,True,0.09662329561551102,0.09209436008371791,0.00035,52
