migration_id,model,model_path,source_gpu,target_gpu,migration_start,target_ready_time,migration_end,migration_latency_s,service_downtime_s,migration_total_s,ordering,readiness_barrier,latency_is_submission_only,weight_bytes,kv_bytes,total_bytes,transfer_path,effective_gbps,success,peak_kvpr_before,peak_kvpr_after,tau,alg1_cycle
0,model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787212995.1781723,1787212996.3854053,1787212999.074766,1.20723295211792,0.0,3.8965935707092285,target-first,1,0,3554176000,0,3554176000,gpu-to-gpu-p2p,10.376531703208034,True,0.01369327043484173,0.013122276422634511,0.00035,2
1,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787213025.2554326,1787213026.5908988,1787213039.5741851,1.3354661464691162,0.0,14.318752527236938,target-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,13.77827026530918,True,0.08038619625920956,0.06693155620805079,0.00035,8
2,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787213059.6543217,1787213061.2452462,1787213070.84327,1.5909245014190674,0.0,11.188948392868042,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.542540584862201,True,0.08313518141866973,0.09303512160039551,0.00035,13
3,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787213091.24115,1787213092.9502385,1787213099.8400123,1.7090885639190674,0.0,8.598862409591675,target-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,13.77827026530918,True,0.08651900093976793,0.06984878475262565,0.00035,18
4,model_1,meta-llama/Llama-3.2-1B,0,1,1787213130.0583403,1787213131.1703877,1787213134.7421174,1.1120474338531494,0.0,4.683777093887329,target-first,1,0,2996965376,0,2996965376,gpu-to-gpu-p2p,11.480025758280947,True,0.07411720119266385,0.08190433177675277,0.00035,25
5,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787213160.2501004,1787213161.4926612,1787213171.5496218,1.242560863494873,0.0,11.299521446228027,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.542540584862201,True,0.09467263655174281,0.0793724055718571,0.00035,31
6,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787213191.7397606,1787213193.392519,1787213201.32716,1.6527583599090576,0.0,9.587399244308472,target-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,13.77827026530918,True,0.0903848701152061,0.10141409896856989,0.00035,36
7,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787213226.585901,1787213227.9573817,1787213236.7530992,1.3714807033538818,0.0,10.167198181152344,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.542540584862201,True,0.07772736707512477,0.06453439471876664,0.00035,42
8,model_1,meta-llama/Llama-3.2-1B,1,0,1787213257.5200155,1787213258.4513521,1787213258.8657286,0.9313366413116455,0.0,1.3457131385803223,target-first,1,0,2996965376,0,2996965376,host-to-device + helper-gpu-p2p,7.845466062187522,True,0.07206344660023188,0.06756426147828108,0.00035,47
9,model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787213287.8951225,1787213288.9610462,1787213302.787438,1.0659236907958984,0.0,14.89231538772583,target-first,1,0,6794207232,0,6794207232,gpu-to-gpu-p2p,13.77827026530918,True,0.08031559086500657,0.06486160621388508,0.00035,53
10,model_2,Qwen/Qwen2.5-1.5B-Instruct,0,1,1787213318.0247848,1787213319.4065242,1787213327.3710911,1.3817393779754639,0.0,9.346306324005127,target-first,1,0,3554176000,0,3554176000,host-to-device + helper-gpu-p2p,3.39679045614266,True,0.08573980606254616,0.08755931603815485,0.00035,57
11,model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787213352.7412372,1787213353.9937792,1787213364.358373,1.2525420188903809,0.0,11.617135763168335,target-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,5.542540584862201,True,0.08332461512669131,0.07537141324954526,0.00035,63
12,model_1,meta-llama/Llama-3.2-1B,0,1,1787213384.6931283,1787213385.562034,1787213390.6292567,0.8689055442810059,0.0,5.936128377914429,target-first,1,0,2996965376,0,2996965376,gpu-to-gpu-p2p,11.480025758280947,True,0.07306358717307691,0.07042867476733726,0.00035,68
