Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/bursty_r8_s2.pkl
[PRISM_DIRECT] 3365 requests, span 419.8s
Starting TP benchmark: paper-faithful-v4_bursty_rate8_seed2
Generated 3365 requests
Request model_3#0 arrives at 188014.909605881, sleeping for 0.157985987898428 seconds
Request model_4#0 arrives at 188015.067874551, sleeping for 0.15832315987790935 seconds
Request model_4#1 arrives at 188015.227332661, sleeping for 0.03792560240253806 seconds
Request model_4#2 arrives at 188015.265930345, sleeping for 0.18022602604469284 seconds
Request model_1#0 arrives at 188015.446709627, sleeping for 0.011547585221705958 seconds
Request model_3#1 arrives at 188015.459283793, sleeping for 0.0965815419331193 seconds
Request model_1#1 arrives at 188015.556526738, sleeping for 0.07103381908382289 seconds
Request model_1#2 arrives at 188015.629666647, sleeping for 0.052694776095449924 seconds
Request model_1#3 arrives at 188015.683634398, sleeping for 0.3289697080035694 seconds
Request model_3#2 arrives at 188016.012945572, sleeping for 0.4227433509367984 seconds
Request model_1#4 arrives at 188016.43646005, sleeping for 0.06803351468988694 seconds
Request model_3#3 arrives at 188016.505795132, sleeping for 0.18084236182039604 seconds
Request model_1#5 arrives at 188016.687062427, sleeping for 0.23473462971742265 seconds
Request model_1#6 arrives at 188016.922278256, sleeping for 0.1507565179199446 seconds
Request model_1#7 arrives at 188017.073493371, sleeping for 0.07062959327595308 seconds
Request model_1#8 arrives at 188017.144565705, sleeping for 0.20294668362475932 seconds
Request model_3#4 arrives at 188017.348790258, sleeping for 0.07839525816962123 seconds
Request model_4#3 arrives at 188017.427872146, sleeping for 0.14430558829917572 seconds
Request model_1#9 arrives at 188017.573015772, sleeping for 0.011186912073753774 seconds
Request model_4#4 arrives at 188017.584946157, sleeping for 0.1608685083920136 seconds
Request model_1#10 arrives at 188017.747061871, sleeping for 0.49709382400033064 seconds
Request model_4#5 arrives at 188018.245427583, sleeping for 0.02944792911875993 seconds
Request model_3#5 arrives at 188018.275374138, sleeping for 0.05343940373859368 seconds
Request model_1#11 arrives at 188018.329444107, sleeping for 0.09311990856076591 seconds
Request model_3#6 arrives at 188018.423534693, sleeping for 0.23949335189536214 seconds
Request model_1#12 arrives at 188018.664065943, sleeping for 0.17547409326652996 seconds
Request model_4#6 arrives at 188018.840029789, sleeping for 0.031396416190546006 seconds
Request model_1#13 arrives at 188018.872089642, sleeping for 0.06991665746318176 seconds
Request model_1#14 arrives at 188018.942345727, sleeping for 0.14242665460915305 seconds
Request model_1#15 arrives at 188019.086311274, sleeping for 0.1710083995712921 seconds
Request model_1#16 arrives at 188019.258396817, sleeping for 0.23148991214111447 seconds
Request model_1#17 arrives at 188019.490258383, sleeping for 0.06321377280983143 seconds
Request model_1#18 arrives at 188019.554274959, sleeping for 0.057506779150571674 seconds
Request model_4#7 arrives at 188019.612294643, sleeping for 0.04375890371738933 seconds
Request model_4#8 arrives at 188019.656388953, sleeping for 0.1197379874647595 seconds
Request model_4#9 arrives at 188019.777507425, sleeping for 0.34729801915818825 seconds
Request model_1#19 arrives at 188020.125785838, sleeping for 0.052521772478939965 seconds
Request model_4#10 arrives at 188020.178939493, sleeping for 0.09698156226659194 seconds
Request model_1#20 arrives at 188020.276224867, sleeping for 0.022600911179324612 seconds
Request model_1#21 arrives at 188020.299426357, sleeping for 0.017425110418116674 seconds
Request model_3#7 arrives at 188020.317421919, sleeping for 0.1574036444653757 seconds
