1787212357.019172326 0, 35432, 0;1, 35446, 0;
1787212359.232458831 0, 35964, 0;1, 35902, 0;
1787212361.442538214 0, 34018, 99;1, 44358, 67;
1787212363.629378139 0, 34020, 99;1, 44504, 100;
1787212365.798938478 0, 34022, 99;1, 44756, 100;
1787212367.956887673 0, 34042, 99;1, 45442, 100;
1787212370.128622523 0, 34298, 99;1, 45554, 77;
1787212372.299133248 0, 34298, 99;1, 45890, 100;
1787212374.448770381 0, 34298, 50;1, 46226, 100;
1787212376.641783970 0, 34298, 50;1, 46566, 100;
1787212378.811445855 0, 34340, 51;1, 46790, 100;
1787212380.982707537 0, 34634, 99;1, 46790, 100;
1787212383.151848787 0, 35160, 99;1, 46904, 100;
1787212385.302571906 0, 35160, 97;1, 46904, 100;
1787212387.554390824 0, 35234, 70;1, 47016, 100;
1787212389.747595605 0, 49858, 100;1, 47122, 99;
1787212391.942849895 0, 51574, 96;1, 47122, 91;
1787212394.144521823 0, 51950, 88;1, 47122, 84;
1787212396.357182132 0, 52064, 48;1, 47146, 73;
1787212398.514828993 0, 52064, 100;1, 47146, 100;
1787212400.684545704 0, 52064, 100;1, 47146, 100;
1787212402.855907217 0, 52176, 100;1, 47146, 100;
1787212405.011775477 0, 52176, 100;1, 44294, 98;
1787212407.205951000 0, 52176, 100;1, 44390, 98;
1787212409.406985015 0, 52176, 100;1, 43670, 98;
1787212411.577188996 0, 52304, 99;1, 35588, 98;
1787212413.748652114 0, 52304, 100;1, 35588, 98;
1787212415.923550155 0, 52944, 99;1, 44124, 100;
1787212418.094149866 0, 53202, 99;1, 44124, 100;
1787212420.247531345 0, 53740, 100;1, 58754, 100;
1787212422.425350115 0, 53458, 99;1, 60552, 100;
1787212424.718984025 0, 53970, 99;1, 60894, 100;
1787212426.894636369 0, 37164, 93;1, 60894, 100;
1787212429.068993767 0, 37164, 92;1, 60894, 100;
1787212431.250393769 0, 37164, 90;1, 60896, 100;
1787212433.434680860 0, 37164, 93;1, 60896, 91;
1787212435.593528685 0, 36908, 91;1, 60896, 100;
1787212437.766390375 0, 36268, 93;1, 60896, 100;
1787212439.940435965 0, 35756, 93;1, 61008, 99;
1787212442.115548137 0, 35756, 93;1, 61008, 100;
1787212444.307961504 0, 35628, 93;1, 61008, 100;
1787212446.478079109 0, 35628, 92;1, 61008, 100;
1787212448.631741662 0, 35628, 93;1, 61008, 92;
1787212451.007507065 0, 35628, 93;1, 61320, 100;
1787212453.204446611 0, 35628, 91;1, 61320, 100;
1787212455.405023022 0, 35628, 89;1, 61320, 100;
1787212457.599301166 0, 33810, 93;1, 61320, 100;
1787212459.752930616 0, 33810, 94;1, 61320, 74;
1787212461.927791239 0, 34066, 94;1, 61320, 100;
1787212464.096302590 0, 34066, 93;1, 61322, 100;
1787212466.289522585 0, 33938, 93;1, 61322, 100;
1787212468.479328706 0, 33810, 93;1, 61322, 100;
1787212470.650303863 0, 33682, 91;1, 61466, 100;
1787212472.824986765 0, 33426, 74;1, 61578, 86;
1787212475.078188905 0, 33426, 50;1, 61722, 88;
1787212477.375471564 0, 33426, 92;1, 61946, 100;
1787212479.573653272 0, 33426, 0;1, 61722, 100;
1787212481.773745063 0, 33426, 0;1, 61834, 100;
