Real trace file: /workspace/prism-exp/exp/workloads/paper-faithful-v4/steady_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.6s
Starting TP benchmark: paper-faithful-v4_steady_rate8_seed3
Generated 3372 requests
Request model_5#0 arrives at 190527.248460175, sleeping for 0.15078939130762592 seconds
Request model_2#0 arrives at 190527.399693811, sleeping for 0.15878909555613063 seconds
Request model_2#1 arrives at 190527.558890856, sleeping for 0.044285195937845856 seconds
Request model_5#1 arrives at 190527.603638051, sleeping for 0.019059302198002115 seconds
Request model_6#0 arrives at 190527.623187841, sleeping for 0.6748844740213826 seconds
Request model_5#2 arrives at 190528.299116876, sleeping for 0.004239850997691974 seconds
Request model_6#1 arrives at 190528.304225676, sleeping for 0.07888508992618881 seconds
Request model_3#0 arrives at 190528.383869497, sleeping for 0.1882604096608702 seconds
Request model_4#0 arrives at 190528.572794257, sleeping for 0.16853169709793292 seconds
Request model_1#0 arrives at 190528.742274211, sleeping for 0.0046323908609338105 seconds
Request model_5#3 arrives at 190528.74805836, sleeping for 0.0030359858938027173 seconds
Request model_3#1 arrives at 190528.751680109, sleeping for 0.03984873177250847 seconds
Request model_3#2 arrives at 190528.792422307, sleeping for 0.13326968386536464 seconds
Request model_6#2 arrives at 190528.926518314, sleeping for 0.04609630201593973 seconds
Request model_6#3 arrives at 190528.9736557, sleeping for 0.300048482225975 seconds
Request model_1#1 arrives at 190529.275077888, sleeping for 0.039146672905189916 seconds
Request model_5#4 arrives at 190529.315182537, sleeping for 0.18647398237953894 seconds
Request model_6#4 arrives at 190529.503858637, sleeping for 0.0873377654934302 seconds
Request model_1#2 arrives at 190529.593024891, sleeping for 0.08145843842066824 seconds
Request model_6#5 arrives at 190529.675013389, sleeping for 0.1651629770931322 seconds
Request model_2#2 arrives at 190529.841105607, sleeping for 0.5263173644780181 seconds
Request model_2#3 arrives at 190530.368105459, sleeping for 0.002512448321795091 seconds
Request model_1#3 arrives at 190530.371126187, sleeping for 0.11436593762482516 seconds
Request model_6#6 arrives at 190530.485699714, sleeping for 0.07956205072696321 seconds
Request model_3#3 arrives at 190530.565695527, sleeping for 0.12358847603900358 seconds
Request model_3#4 arrives at 190530.689708584, sleeping for 0.08626984196598642 seconds
Request model_4#1 arrives at 190530.776963573, sleeping for 0.05670102557633072 seconds
Request model_3#5 arrives at 190530.833884636, sleeping for 0.03906312564504333 seconds
Request model_6#7 arrives at 190530.873827585, sleeping for 0.0669758842268493 seconds
Request model_5#5 arrives at 190530.942899833, sleeping for 0.17183170505450107 seconds
Request model_5#6 arrives at 190531.115194153, sleeping for 0.07942679215921089 seconds
Request model_6#8 arrives at 190531.195289719, sleeping for 0.00030953515670262277 seconds
Request model_5#7 arrives at 190531.196094899, sleeping for 0.10117241571424529 seconds
Request model_6#9 arrives at 190531.297946045, sleeping for 0.03621550285606645 seconds
Request model_1#4 arrives at 190531.335878115, sleeping for 0.175575355096953 seconds
Request model_6#10 arrives at 190531.51338694, sleeping for 0.37951731437351555 seconds
Request model_6#11 arrives at 190531.893745781, sleeping for 0.009798443643376231 seconds
Request model_6#12 arrives at 190531.904848727, sleeping for 0.003923705779016018 seconds
Request model_6#13 arrives at 190531.909768086, sleeping for 0.03109786062850617 seconds
Request model_2#4 arrives at 190531.941550311, sleeping for 0.20730230360641144 seconds
Request model_5#8 arrives at 190532.150488047, sleeping for 0.1153646404563915 seconds
