request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_3#0,model_3,0.15798739989438207,0.5649747418883361,256,26,0.07656621932983398,0.012551591946528507,0.40698734199395403,0.32242298126220703,0.03452756255865097,1,1,1,1,0
model_4#0,model_4,0.3165933018696464,2.6332838228642443,229,132,0.05695796012878418,0.017082012060916786,2.316690520994598,0.31958580017089844,0.039198730140924454,1,1,1,1,0
model_4#1,model_4,0.3556537043987044,6.527582639384476,634,333,0.0531771183013916,0.01835111884383468,6.171928934985772,0.31958580017089844,0.039198730140924454,1,1,1,1,0
model_4#2,model_4,0.5365519630560605,1.0080433820677874,472,26,0.05282735824584961,0.015942876155559834,0.471491419011727,0.31958580017089844,0.039198730140924454,1,1,1,1,0
model_1#0,model_1,0.5486528242245485,6.2580070602189455,45,384,0.05875420570373535,0.014700294782718023,5.709354235994397,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_3#1,model_3,0.6462611159366264,0.8509772179530176,431,16,0.02919292449951172,0.010697588324546814,0.20471610201639123,0.32242298126220703,0.03452756255865097,1,1,1,1,0
model_1#1,model_1,0.7179557380690306,5.038866580081412,8,291,0.03164958953857422,0.014719448548411996,4.320910842012381,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_1#2,model_1,0.772756734088367,1.0254418721127567,1286,16,0.06585288047790527,0.011287778615951538,0.25268513802438974,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_1#3,model_1,1.1029993169916585,3.9104506040142173,13,204,0.03199052810668945,0.013579965806474872,2.807451287022559,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_3#2,model_3,1.5260840539550637,5.046595457955053,1354,255,0.08918190002441406,0.013422620997709387,3.52051140399999,0.32242298126220703,0.03452756255865097,1,1,1,1,0
model_1#4,model_1,1.5948878447020554,6.095117636702083,17,298,0.021158456802368164,0.015010923347217124,4.500229792000027,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_3#3,model_3,1.7770328548085201,2.7765141838044185,14,71,0.03234243392944336,0.013572551834751184,0.9994813289958984,0.32242298126220703,0.03452756255865097,1,1,1,1,0
model_1#5,model_1,2.0121922276975206,2.6584279276957354,64,41,0.035669565200805664,0.014805898433778344,0.6462356999982148,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_1#6,model_1,2.1634301959141213,3.989723611915257,313,127,0.03315019607543945,0.014081046337217797,1.8262934160011355,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_1#7,model_1,2.234518035260179,8.015804643251384,21,384,0.03821992874145508,0.014938969785968462,5.7812866079912055,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_1#8,model_1,2.437907649615341,5.575419515607906,40,204,0.05624246597290039,0.015075754885580026,3.1375118659925647,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_3#4,model_3,2.5175807571434663,2.7291231541533736,58,16,0.024259328842163086,0.011514261364936829,0.2115423970099073,0.32242298126220703,0.03452756255865097,1,1,1,1,0
model_4#3,model_4,2.6625725852780837,4.4074533922529175,250,95,0.052017927169799805,0.017763935892205488,1.7448808069748338,0.31958580017089844,0.039198730140924454,1,1,1,1,0
model_1#9,model_1,2.674597724084569,8.424400805064769,603,384,0.04500603675842285,0.014837541927893957,5.7498030809802,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_4#4,model_4,2.8362101263776265,3.7583882483888726,308,50,0.04924750328063965,0.017379822731018065,0.9221781220112462,0.31958580017089844,0.039198730140924454,1,1,1,1,0
model_1#10,model_1,3.334551115995126,6.392964301989267,12,194,0.03448653221130371,0.015565485069432209,3.058413185994141,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_4#5,model_4,3.365270653108701,3.692974625106536,771,16,0.07070112228393555,0.015741243958473206,0.32770397199783474,0.31958580017089844,0.039198730140924454,1,1,1,1,0
model_3#5,model_3,3.419208872738613,4.530379775732376,90,90,0.02463078498840332,0.012029141849941678,1.1111709029937629,0.32242298126220703,0.03452756255865097,1,1,1,1,0
model_1#11,model_1,3.512959196550964,3.7389792495509204,319,16,0.031504154205322266,0.011931166052818298,0.22602005299995653,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_3#6,model_3,3.753422514893476,6.347430957897462,103,200,0.030437946319580078,0.01279218316078186,2.594008443003986,0.32242298126220703,0.03452756255865097,1,1,1,1,0
model_1#12,model_1,3.9299355782480356,4.480810422237767,8,36,0.03209352493286133,0.01432380411359999,0.5508748439897317,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_4#6,model_4,3.961821115173202,10.850466651177534,386,384,0.04730057716369629,0.01779392237464587,6.888645536004333,0.31958580017089844,0.039198730140924454,1,1,1,1,0
model_1#13,model_1,4.0324018114588895,9.933866449468091,40,384,0.025332212448120117,0.015286906932791075,5.901464638009202,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_1#14,model_1,4.1751677425808635,5.236288901581186,14,59,0.026750564575195312,0.017478292271242302,1.0611211590003222,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_1#15,model_1,4.34771503456512,4.5780357305856185,531,16,0.038712263107299805,0.011716693639755249,0.23032069602049887,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_1#16,model_1,4.5802819901304614,8.210206935139869,10,235,0.05395030975341797,0.01519824393252109,3.6299249450094067,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_1#17,model_1,4.64386762780599,5.22835015782151,118,30,0.0485844612121582,0.0177656094233195,0.5844825300155208,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_1#18,model_1,4.70217687815177,9.680434814169823,11,328,0.01940608024597168,0.015101558551555726,4.978257936018053,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_4#7,model_4,4.7464486877250724,5.279619118704298,90,16,0.04986453056335449,0.02999436855316162,0.5331704309792258,0.31958580017089844,0.039198730140924454,1,1,1,1,0
model_4#8,model_4,4.866521730480407,9.782104441473884,829,278,0.19426846504211426,0.01695283625623305,4.915582710993476,0.31958580017089844,0.039198730140924454,1,1,1,1,0
model_4#9,model_4,5.215200745145872,8.453743931162485,21,189,0.04212689399719238,0.016885923960852246,3.2385431860166136,0.31958580017089844,0.039198730140924454,1,1,1,1,0
model_1#19,model_1,5.268702691485179,11.066004413506253,12,384,0.023996591567993164,0.015015131483475367,5.797301722021075,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_4#10,model_4,5.366316546254911,6.194253362255058,80,46,0.04399299621582031,0.016966187435647716,0.8279368160001468,0.31958580017089844,0.039198730140924454,1,1,1,1,0
model_1#20,model_1,5.38922024819191,5.6627161651966755,78,16,0.037557363510131836,0.014570534229278564,0.27349591700476594,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_1#21,model_1,5.407246478382864,8.48772925937445,97,211,0.03607630729675293,0.014406250551413586,3.080482780991588,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_3#7,model_3,5.5652204934390035,5.82175425945886,142,19,0.03956198692321777,0.011238637723420796,0.25653376601985656,0.32242298126220703,0.03452756255865097,1,1,1,1,0
model_1#22,model_1,5.665599869219462,5.910170179214204,683,16,0.0369725227355957,0.012707352638244629,0.24457030999474227,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_4#11,model_4,5.877681285638149,11.508997064637272,17,331,0.026993989944458008,0.01691174002932638,5.631315778999124,0.31958580017089844,0.039198730140924454,1,1,1,1,0
model_1#23,model_1,5.905553828989081,6.161277485988261,767,16,0.045676231384277344,0.012873247265815735,0.2557236569991801,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_4#12,model_4,6.27930729379861,7.675576139800086,347,82,0.04455280303955078,0.01642871484523866,1.396268846001476,0.31958580017089844,0.039198730140924454,1,1,1,1,0
model_1#24,model_1,6.7031463555602455,10.639407240566296,202,256,0.034281015396118164,0.01522064208984375,3.9362608850060496,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_1#25,model_1,6.7562757143864625,8.193496879405316,19,98,0.059233665466308594,0.014025839007630641,1.4372211650188547,0.1452481746673584,0.02050662226974964,1,1,1,1,0
model_4#13,model_4,7.055047357062573,14.10312788306386,23,295,0.6924355030059814,0.02152392015618793,7.048080526001286,0.31958580017089844,0.039198730140924454,0,1,0,1,0
model_4#14,model_4,7.340413300182205,17.354536587175915,107,384,0.46956610679626465,0.0248269730557998,10.014123286993708,0.31958580017089844,0.039198730140924454,0,1,0,1,0
model_3#8,model_3,7.522485630621707,9.784363523626274,76,116,0.022836685180664062,0.019264642534584833,2.2618778930045664,0.32242298126220703,0.03452756255865097,1,1,1,1,0
model_4#15,model_4,7.549398742915994,17.355796791942023,414,384,0.2615041732788086,0.02483015072842439,9.80639804902603,0.31958580017089844,0.039198730140924454,1,1,1,1,0
model_1#26,model_1,7.565645484639397,10.405060721626803,207,181,0.028518199920654297,0.01550634658139055,2.8394152369874064,0.1452481746673584,0.02050662226974964,1,1,1,1,0
